#OK
#SQL= select * from miniMDR1..FOF as m where m.snapnum = 85 order by np desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 10:58:12.232 CEST
#QUERYTIME 20 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=level JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 4 name=NInFile JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=size JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=disp JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=disp_v JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=delta JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=angMom_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=angMom_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=angMom_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=angMom JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axis1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axis2 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis3 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 28 name=axis2_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 29 name=axis2_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 30 name=axis2_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 31 name=axis3_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 32 name=axis3_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 33 name=axis3_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 34 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 35 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 36 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 37 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
#fofId,snapnum,level,NInFile,x,y,z,vx,vy,vz,np,mass,size,disp,disp_v,delta,spin,angMom_x,angMom_y,angMom_z,angMom,axis1,axis2,axis3,axis1_x,axis1_y,axis1_z,axis2_x,axis2_y,axis2_z,axis3_x,axis3_y,axis3_z,ix,iy,iz,phkey
85000000000,85,0,0,384.7144,468.4821,873.0618,-115.12,-294.5,87.51,310057,2.70400699E15,2.5719,2.606,2000.0,505.5,-0.0,8.3690001E17,-5.8210001E17,3.19800001E17,1.06799997E18,2.2024,1.2489,0.606,0.5669,0.8233,0.0273,-0.7201,0.4792,0.5019,0.4001,-0.3042,0.8645,393,479,894,991135410
85000000479,85,0,479,374.9748,432.0125,857.7928,-24.17,50.32,563.37,74568,6.5030751E14,1.4178,0.966,1500.0,726.1,0.0476,-5.0529998E16,-4.83E16,4.3019999E16,8.2080003E16,0.7764,0.4801,0.3128,0.724,0.3161,0.6131,0.266,-0.948,0.1747,0.6365,0.0366,-0.7704,383,442,878,997232431
85000000529,85,0,529,411.931,445.134,871.2326,-163.05,192.4,199.77,72182,6.2949926E14,1.6164,1.085,1300.0,474.0,0.0317,-3.10399992E16,-3.14599998E16,-3.7989999E16,5.828E16,0.7955,0.5969,0.4297,0.9501,-0.2311,-0.2096,0.1429,0.9195,-0.3663,0.2774,0.318,0.9066,421,455,892,991056622
85000001931,85,0,1931,367.2975,444.4655,870.1746,311.44,296.29,269.25,43600,3.80235602E14,1.1972,0.7769,1300.0,705.1,0.0579,2.04900005E16,2.04299998E16,-2.782E16,4.014E16,0.5671,0.4351,0.3021,0.4729,-0.8665,-0.1597,0.8785,0.4777,0.0098,0.0678,-0.1449,0.9871,376,455,891,997158080
85000002035,85,0,2035,359.7898,461.0598,873.4024,788.27,76.22,35.87,42565,3.71209359E14,1.2321,0.8216,1200.0,631.4,0.0741,6.2299998E15,3.45799993E16,3.792E16,5.169E16,0.6644,0.3994,0.2696,0.9189,0.337,-0.205,0.3923,-0.7271,0.5633,0.0407,-0.5981,-0.8004,368,472,894,997152072
85000002836,85,0,2836,424.7553,439.3965,868.5194,-331.1,-36.66,343.0,36363,3.17121729E14,1.22,0.9458,1100.0,555.5,0.0226,-7.248E15,7.8350001E15,6.8669999E15,1.26899995E16,0.8188,0.3389,0.3276,0.8559,-0.5067,-0.1032,0.4659,0.8422,-0.2714,0.2245,0.1842,0.9569,434,449,889,991060876
85000003728,85,0,3728,373.2195,467.5881,844.9969,-81.71,-18.14,588.19,31882,2.78042946E14,1.1779,0.9597,1000.0,541.2,0.0541,-5.8409998E15,2.13700006E16,-1.05300003E16,2.45299992E16,0.8266,0.3769,0.3059,0.2996,-0.6978,-0.6506,-0.3941,0.5305,-0.7505,0.8689,0.4813,-0.116,382,478,865,997150131
85000004404,85,0,4404,392.1726,468.7502,896.2596,-176.77,-136.87,-454.72,29122,2.53972976E14,1.042,0.6117,1100.0,714.4,0.0412,9.9769996E15,-8.5069998E15,5.5750002E15,1.42500003E16,0.395,0.3762,0.2754,0.166,0.9861,5.0E-4,-0.3544,0.0592,0.9332,0.9203,-0.1551,0.3593,401,480,917,994027970
85000004639,85,0,4639,391.0981,466.856,878.4513,-864.19,206.51,-556.84,28384,2.47536867E14,1.1629,0.7903,990.0,500.6,0.0733,-2.70399996E16,3.53700006E15,-5.5309998E15,2.78300008E16,0.5807,0.4428,0.2998,0.4952,-0.3471,0.7964,0.3986,-0.7237,-0.5633,0.7719,0.5964,-0.22,400,478,899,993939395
85000005333,85,0,5333,363.795,446.9354,879.2132,368.95,223.37,-448.64,26304,2.2939719E14,1.1326,1.029,970.0,502.1,0.0324,2.25900006E15,-2.64500004E15,-1.01499999E16,1.07299998E16,0.832,0.5581,0.2303,0.0802,-0.3489,-0.9337,0.3023,0.9011,-0.3108,0.9498,-0.2574,0.1778,372,457,900,994156183
85000005391,85,0,5391,391.3878,480.4604,854.3825,-344.61,-789.53,566.94,26167,2.282024E14,1.1108,0.7315,950.0,529.6,0.0499,-3.04999989E15,-1.413E16,8.3629998E15,1.67E16,0.5346,0.4149,0.2757,0.684,-0.6746,0.2775,0.406,0.0361,-0.9132,0.606,0.7373,0.2986,400,491,874,991115557
85000006272,85,0,6272,388.5435,512.2618,901.2646,-279.37,-802.4,-14.46,24090,2.10088896E14,1.0825,0.7194,920.0,526.8,0.0042,3.92100013E14,1.11799999E15,-3.77699994E14,1.24300004E15,0.5552,0.3519,0.2904,0.6788,0.7241,-0.1225,-0.6938,0.6869,0.2161,0.2406,-0.0618,0.9687,397,524,922,806559515
85000006273,85,0,6273,383.922,478.1433,875.0391,137.48,-1430.18,39.48,24087,2.1006274E14,1.0571,1.273,820.0,565.8,0.0355,3.42499993E15,1.09300003E16,2.61000009E15,1.174E16,1.2135,0.3126,0.2147,0.4023,-0.8529,-0.3327,0.8992,0.4364,-0.0312,0.1718,-0.2866,0.9425,393,489,896,994034866
85000007296,85,0,7296,341.8994,513.4289,836.9578,-25.0,-342.79,272.06,22161,1.93266079E14,1.0606,0.9914,830.0,515.2,0.059,-8.4649999E15,6.617E15,-1.22200001E16,1.62699997E16,0.7259,0.6333,0.2293,0.5887,0.4257,0.6872,-0.764,0.0153,0.645,0.264,-0.9048,0.3342,350,525,857,809714204
85000007810,85,0,7810,384.9855,461.9106,864.7251,-182.45,415.09,879.02,21340,1.86106134E14,1.0378,0.8023,880.0,529.7,0.0628,9.1929995E15,-1.20800003E16,1.11800004E14,1.51800003E16,0.6599,0.3475,0.2935,0.307,0.3388,0.8894,-0.5656,-0.6866,0.4567,0.7654,-0.6433,-0.0192,394,472,885,991135981
85000009132,85,0,9132,423.5889,502.7036,900.2672,-198.32,-510.93,35.22,19502,1.7007693E14,1.0021,0.6793,890.0,537.6,0.0307,-2.90499991E15,4.89800017E14,-5.3380001E15,6.0969997E15,0.5566,0.2889,0.2592,0.8219,-0.2117,-0.5287,0.304,0.9481,0.0929,0.4817,-0.237,0.8437,433,514,921,806413242
85000009656,85,0,9656,393.123,469.1968,883.9849,-620.07,-391.8,-722.31,18875,1.64608883E14,1.0246,0.6478,890.0,486.7,0.093,1.51800003E16,-8.4240001E15,7.5340001E13,1.73600001E16,0.4784,0.3616,0.2431,0.072,0.1025,-0.9921,0.5497,0.8259,0.1252,0.8323,-0.5544,0.0032,402,480,905,994033209
85000012075,85,0,12075,381.5543,489.9686,883.4733,-331.26,-904.48,-115.12,16570,1.44506976E14,0.965,0.6629,860.0,511.4,0.0588,8.6270002E15,-1.03199998E15,-1.04299999E15,8.75E15,0.5071,0.3661,0.2174,0.0463,-0.6904,-0.722,0.4713,0.6523,-0.5936,0.8808,-0.3128,0.3556,390,501,904,994047791
85000012590,85,0,12590,378.6562,496.4754,888.0132,142.51,-887.23,-17.69,16134,1.40704613E14,0.9507,0.682,800.0,520.8,0.0783,4.568E15,-6.0000001E15,9.1889999E15,1.18899996E16,0.5441,0.336,0.2347,0.0798,-0.3935,-0.9158,-0.7496,0.582,-0.3154,0.6571,0.7116,-0.2485,387,508,909,994045994
85000012912,85,0,12912,394.4599,470.418,855.7126,-549.23,-202.48,854.77,15867,1.38376112E14,0.9143,0.7959,780.0,575.9,0.0663,-5.2230002E15,-7.5900002E15,-3.74400003E15,9.945E15,0.6637,0.3725,0.2296,0.7023,0.6142,-0.3599,0.2584,0.2511,0.9328,0.6633,-0.7482,0.0176,403,481,876,991115880
85000013883,85,0,13883,366.0542,474.9461,844.2361,14.66,-240.51,487.05,15165,1.32253972E14,0.9533,0.8677,750.0,485.5,0.1342,1.13999996E16,7.8829998E14,-1.52499997E16,1.90599997E16,0.7967,0.2475,0.2349,0.8433,0.0090,0.5374,-0.3959,-0.666,0.6322,0.3636,-0.7459,-0.5581,374,486,864,996981938
85000014269,85,0,14269,376.5995,468.0485,871.6093,1015.89,-387.86,364.41,14926,1.30169646E14,0.9333,0.7862,820.0,509.2,0.1968,2.206E16,-4.7649999E15,1.06499995E16,2.49499997E16,0.6526,0.375,0.2241,0.4005,0.7837,-0.4748,-0.7722,0.5676,0.2856,0.4933,0.2522,0.8325,385,479,892,991133756
85000014437,85,0,14437,364.023,502.9385,914.1552,-76.65,-534.73,-150.8,14811,1.29166737E14,0.8919,0.6913,790.0,579.1,0.0825,-4.11699996E15,-8.2869998E15,5.3970001E15,1.07100002E16,0.5543,0.337,0.2366,0.3383,-0.6338,-0.6956,0.9399,0.2634,0.2171,0.0456,-0.7272,0.6849,372,515,936,809465727
85000014466,85,0,14466,411.0887,466.7457,916.7104,-211.86,-161.48,101.31,14791,1.28992313E14,0.9391,0.9179,770.0,495.4,0.2072,2.55099991E16,-7.6079998E15,-5.9380001E15,2.72800002E16,0.8477,0.2745,0.2165,0.2553,-0.048,0.9657,-0.2832,-0.9587,0.0272,0.9244,-0.2805,-0.2584,420,477,938,993866799
85000015928,85,0,15928,387.5425,471.4384,903.7754,164.5,-150.02,-476.79,13951,1.21666676E14,0.8811,0.5923,790.0,565.8,0.0779,5.7780002E15,6.2439998E15,-2.77799988E15,8.9489998E15,0.4088,0.343,0.2555,0.4203,-0.478,0.7713,0.8169,-0.1706,-0.551,0.395,0.8616,0.3187,396,482,925,994039199
85000017865,85,0,17865,369.6472,500.6855,907.2562,-42.84,-568.84,-31.34,12974,1.13146258E14,0.9028,0.8232,660.0,489.0,0.0504,1.88499994E15,-2.62899995E15,-5.0179998E15,5.9700002E15,0.7035,0.3704,0.2099,0.8555,0.1167,-0.5045,-0.1302,0.9915,0.0086,0.5012,0.0583,0.8634,378,512,929,809467695
