#OK
#SQL= select * from miniMDR1..BDMW as m where m.snapnum = 85 order by np desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 10:56:09.315 CEST
#QUERYTIME 465 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8511511114,85,11511114,-1,384.92,468.0325,872.9519,-486.12,-644.12,60.84,164560,1.42700007E15,1.55800006E15,1.8892,2055.0,1825.0,3.116,0.1207,0.4265,0.0415,1.111,0.9714,0.4729,-0.3128,0.5584,0.7683,394,479,893,991135378
8511505113,85,11505113,-1,375.2415,432.0446,858.1343,-495.11,-271.21,283.43,51994,4.50899994E14,5.06200014E14,1.2972,1462.0,1262.0,3.918,0.0998,0.4063,0.0203,0.7258,0.9403,0.465,0.7692,-0.0447,0.6375,384,442,878,991180146
8511619855,85,11619855,-1,411.8029,445.3222,871.2625,-191.22,49.7,110.41,47802,4.14600005E14,4.32600011E14,1.2305,1334.0,1217.0,3.064,0.0433,0.256,0.0308,0.7057,0.7196,0.5283,0.6762,-0.7025,0.2219,421,456,892,991056263
8511516274,85,11516274,-1,367.4068,444.6191,870.2469,256.72,496.45,372.81,35640,3.09100005E14,3.26599983E14,1.1143,1266.0,1101.0,2.878,0.1431,0.4001,0.0496,0.6592,0.5894,0.3916,-0.1392,0.9327,0.3326,376,455,891,997158080
8511517616,85,11517616,-1,359.9807,461.329,873.2205,-22.0,247.69,105.71,28066,2.43400008E14,3.00699989E14,1.0888,1186.0,1028.0,4.509,0.1238,0.4733,0.045,0.609,0.6499,0.4096,0.9515,0.1094,-0.2877,368,472,894,997152072
8511615725,85,11615725,-1,425.0068,439.2589,868.4853,-323.26,-64.24,381.43,26850,2.32799995E14,2.43200007E14,1.0143,1121.0,1040.0,4.459,0.0098,0.254,0.0341,0.5554,0.7035,0.6172,0.5268,-0.7959,0.2985,435,449,889,991060879
8511535849,85,11535849,-1,392.1201,468.7684,896.2213,-118.38,-197.61,-397.89,26275,2.27900008E14,2.35000008E14,1.0039,1134.0,1065.0,5.517,0.0412,0.2288,0.0346,0.5295,0.7445,0.6048,0.3298,0.7531,-0.5693,401,480,917,994027970
8511516668,85,11516668,-1,381.7758,466.9518,873.2009,1210.08,-30.11,330.99,24370,2.11299993E14,2.22499992E14,0.9838,1058.0,996.0,4.077,0.0195,0.2047,0.0187,0.5468,0.7612,0.6255,0.7972,0.6034,0.0204,390,478,894,991133900
8511495892,85,11495892,-1,373.0938,467.7383,845.2005,77.08,177.41,579.98,23277,2.01900004E14,2.10999999E14,0.9666,1100.0,989.2,4.348,0.0334,0.3348,0.0436,0.5336,0.7011,0.5956,0.2143,0.8286,0.5172,382,478,865,997150131
8511525686,85,11525686,-1,390.9826,466.8726,878.3085,-803.11,151.92,-464.09,19359,1.67900002E14,1.77300008E14,0.9108,1001.0,918.0,3.882,0.0701,0.2853,0.0721,0.5116,0.8222,0.597,0.453,-0.0172,0.8914,400,478,899,993939395
