#haloID,c,n_particles
0,13.7698569785,1552
1,8.35942814916,342
2,9.32132622865,711
3,10.7400182149,283
5,8.76850510826,333
6,5.16102762348,220
7,6.68054741077,235
8,4.41366547304,371
9,14.2560831118,230
12,6.76431806933,239
13,8.91173445462,4684
14,11.901175743,976
15,9.84597646747,250
17,6.01464403827,350
19,7.22694293528,1743
20,8.73485109301,2077
21,5.62450391468,319
23,8.54315798607,30688
25,12.2701845433,1878
26,12.1125050318,489
28,6.97266597083,236
29,7.58699014808,209
30,6.37459863871,232
31,11.6498041184,345
32,7.34517947968,727
33,11.693501756,243
34,5.42147207326,1556
35,11.3599588029,807
36,12.9227771617,236
37,9.28646744503,295
38,8.83708276663,747
39,9.05011678012,402
41,5.80635740032,1302
42,10.7170562813,403
43,7.36665601576,244
44,6.78819909034,728
45,9.89745995589,253
46,7.16956719804,967
47,8.79719451785,290
48,11.0170771265,1414
49,7.88280869612,304
50,8.97002910546,415
52,10.0455813375,663
53,10.2017131881,237
55,10.2671553844,615
56,4.07612523791,225
57,7.87505014963,322
58,6.63574996566,291
59,12.5484676513,916
60,6.50012542701,239
61,4.54637383406,11927
62,8.78733327227,305
63,3.1749774417,1058
64,7.24433544313,472
66,9.19592400114,218
68,11.7703240762,271
69,3.88921767797,1857
70,8.36080952003,3364
71,11.1293942478,405
72,8.19282959699,201
73,13.1919257971,239
74,8.33318559772,233
76,9.72495920351,350
77,8.85828110231,734
78,8.7503833159,444
79,7.19146278173,882
80,12.1901020536,376
81,5.23569212899,695
82,9.68311360166,241
83,7.31726817275,483
88,12.4874900062,234
89,10.5413632419,346
91,9.08831686039,676
92,5.81351954794,2825
94,10.3799760117,407
95,5.65220505579,2053
96,5.60071660034,3366
98,8.45796842108,383
99,11.0457238499,376
100,9.13717740012,427
101,9.71820146774,474
102,8.34297746819,332
103,7.12033655858,227
104,17.2397836962,481
105,9.62783971941,605
106,9.22939540602,240
107,7.8594488104,4804
108,7.85048460472,255
110,3.08628259564,272
111,5.57249109661,420
112,7.52211193279,286
113,9.89846828824,206
114,13.933509158,541
115,6.46905223337,350
117,4.97478694498,638
119,9.88760846065,956
121,26.6738805427,369
122,7.1709292407,405
123,12.1268911673,615
124,7.09126184295,1268
125,9.549065104,296
