halo_id,x_potential,y_potential,z_potential,x_mass,y_mass,z_mass,eig_1,eig_2,eig_3
85000000000,384.922,468.0378,872.9578,384.71441138,468.482061733,873.061849753,654786.170115,1642913.52109,2061141.08684
85000000479,375.2441,432.0492,858.132,374.974755748,432.012491794,857.792787205,25383.8449055,75814.725788,65852.9136931
85000000529,411.823,445.3043,871.2697,411.930980954,445.13404389,871.23258042,40358.0333512,74219.8570048,60940.9049577
85000001931,367.4028,444.6154,870.2545,367.29747458,444.465509505,870.174575353,13502.8444432,18613.8601484,23885.0939276
85000002035,359.9791,461.3266,873.2438,359.789772968,461.059811798,873.402427205,11279.450861,26126.4725601,31188.9526526
85000002836,425.0101,439.2534,868.4839,424.755293799,439.396460894,868.51938628,8081.30298745,31429.0995211,31702.462476
85000003728,373.0875,467.7397,845.2007,373.219482103,467.588113914,844.996923204,7645.26640257,28807.724931,27367.8012867
85000004404,392.1175,468.7674,896.2379,392.172586213,468.750157496,896.259643369,8666.35203118,6862.56606055,6439.12166524
85000004639,390.9874,466.8863,878.3209,391.098068764,466.856032219,878.451300895,8156.22571412,15953.96567,12977.262469
85000005333,363.8176,447.2854,879.6941,363.795043514,446.935355874,879.213191606,35717.5557362,28507.1348578,10009.1755065
85000005391,391.3809,480.5124,854.3485,391.387809229,480.460369771,854.382490221,6531.92333937,12070.6115752,9546.92015268
85000006272,388.6058,512.3774,901.2289,388.543456359,512.26186699,901.264577455,5048.38910025,9884.98896342,10837.6377157
85000006273,383.4456,479.2027,875.4437,383.92200404,478.143342463,875.039053685,3469.12759387,73014.6819453,74263.076736
85000007296,342.3451,513.7858,837.3995,341.899447764,513.428894197,836.957752498,10099.5499949,24381.437908,32081.1603486
85000007810,385.1075,461.8736,864.605,384.985509053,461.910567123,864.725088997,4916.15217328,11499.3781255,12308.4926149
85000009132,423.6999,502.6335,900.1613,423.588925833,502.703599703,900.267156738,2975.14964558,8218.00594314,7874.42049953
85000009656,393.1457,469.2365,883.894,393.122984244,469.196781695,883.98483725,6983.7737014,5610.81622452,3603.8102846
85000012075,381.5125,490.0185,883.6266,381.554304725,489.968620091,883.473307996,6940.88503892,5418.03055287,3089.50134062
85000012590,378.8448,496.2622,887.6426,378.656254711,496.475410871,888.013197093,2913.64660988,9015.34636101,10090.9375478
85000012912,394.4556,470.4596,855.916,394.459860459,470.418029287,855.712655833,3675.51780387,9865.61858224,7883.49973255
85000013883,366.4798,474.9617,844.538,366.054209522,474.946109878,844.236144365,1773.61606603,14594.0238583,14681.4332432
85000014269,376.5885,467.7094,871.6556,376.599451822,468.048464317,871.60927566,3209.27997513,8521.27852638,10178.9642837
85000014437,364.0991,502.8024,914.1014,364.022980521,502.938542057,914.155144852,2577.68897151,5774.44243472,6577.56045789
85000014466,411.2038,466.7021,917.3177,411.088757481,466.745694997,916.71047844,1827.83731927,17406.4801161,16992.1699393
85000015928,387.6344,471.41,903.6777,387.542466984,471.438390832,903.775365637,4230.47029101,3257.12169469,2802.48049464
85000017865,369.3396,500.8776,907.3774,369.647206606,500.685526283,907.256163234,2906.70632659,10088.4692138,8345.96088473
85000018376,340.9468,504.2647,863.9105,340.957812221,504.255514621,863.895457965,1326.19053506,2121.83730869,2004.42171119
85000021021,366.6129,421.2212,883.2838,366.619556806,421.22454754,883.258748791,1226.73834751,3149.7202807,2989.12870398
85000022686,377.9917,489.0529,880.9836,378.00359566,489.026228638,880.882732257,1260.86905476,1949.66879228,1603.66470166
85000023452,392.6476,458.3905,859.5396,392.645311781,458.335588681,859.46696643,1181.88929398,2029.52638048,2435.42978726
85000024033,379.2584,493.1197,826.7791,379.64675613,493.506335744,826.814038488,1063.05974158,8470.16269546,8357.45347166
85000024661,366.4662,472.2114,870.527,366.489447966,472.17526645,870.51185212,1128.79583092,1298.27971164,1607.49833774
85000025068,390.1095,465.4559,868.0316,390.181752388,465.478767747,868.232275051,1259.6473263,3172.53327544,3019.07256607
85000025460,377.902,429.6417,859.0731,377.897286654,429.643311132,859.150614693,1333.1410254,7811.7761846,8576.1630009
85000026030,360.8262,426.9737,879.3079,361.056057778,426.927342321,879.456064125,1082.09603189,5033.59759143,5393.4442652
85000026420,363.2172,461.6372,873.2166,363.254228754,461.607159338,873.201033353,1264.97559019,1838.54927395,1703.01382772
85000028079,378.7158,432.4271,901.5627,378.684259744,432.460667668,901.606370921,1890.73993958,1677.35867392,1069.39674012
85000029047,391.5995,469.6156,879.2611,391.383343089,470.049518849,879.286788238,990.317574015,5041.98603413,4774.97709408
85000029978,399.9264,476.6674,850.0399,399.920488638,476.721817409,850.045244957,965.834085794,1710.65135146,1638.80348564
85000032242,391.895,476.2266,871.3295,391.940370398,476.190564342,871.353489815,958.015977129,1839.21921185,1952.71735654
