# center_difference,dens_conc,mass_conc,vlct_conc
2.680303740289164405e-01,1.308943454048152155e+00,2.013268999999999753e+00,2.996402000000000232e+00
3.378515291034469015e-01,3.650098244836379457e+00,3.805087999999999582e+00,3.103316999999999659e+00
1.668061369621829382e-01,4.260129450861336764e+00,4.346864000000000061e+00,2.391950999999999716e+00
1.789932163464120207e-01,2.866874289132684606e+00,3.321601999999999499e+00,2.815420000000000034e+00
3.358010872929470536e-01,1.911884349367528380e+00,2.406649000000000260e+00,3.759268000000000054e+00
2.904152598369873495e-01,4.239991230965735269e+00,4.257217999999999947e+00,4.071158000000000499e+00
2.961631428879939465e-01,4.469236433061630542e+00,4.077690000000000481e+00,4.249128999999999934e+00
6.180312515457495742e-02,5.184381747189381606e+00,4.728519999999999612e+00,5.328287999999999691e+00
1.899381344750275813e-01,4.134130366887056596e+00,3.937240000000000073e+00,3.481469999999999843e+00
7.075713944027534064e-01,4.864152839309420884e+00,4.424198999999999771e+00,6.297647000000000439e+00
6.908850589982983015e-02,4.185601464360398261e+00,3.570662999999999698e+00,3.626705999999999985e+00
1.580719169104146393e-01,3.720920177359623882e+00,3.603674999999999962e+00,3.232704000000000022e+00
1.686091267569297614e+00,6.694765925628560765e+00,6.092000999999999777e+00,6.122278999999999805e+00
1.054354565801721266e+00,4.043188013925032465e+00,4.137833999999999790e+00,3.072570000000000245e+00
2.220320044008206595e-01,5.061421210927558256e+00,4.927373999999999477e+00,4.247212000000000209e+00
2.132506518645011784e-01,6.279757345178412109e+00,5.430596999999999674e+00,5.952777999999999459e+00
1.226901730130561669e-01,4.984167718503647926e+00,4.147694000000000436e+00,4.461930999999999869e+00
2.180974671610044491e-01,2.985052977851383016e+00,2.953517999999999866e+00,3.335494000000000181e+00
6.785427110418853491e-01,2.596139789606826564e+00,2.497050999999999910e+00,3.033662000000000081e+00
3.009877453002811620e-01,4.696033177759527000e+00,4.636654000000000053e+00,3.999514000000000014e+00
7.647073462354957440e-01,4.273803539633724391e+00,3.506568000000000129e+00,4.223937999999999526e+00
5.178694626003531587e-01,5.203331451815245146e+00,5.009253000000000178e+00,4.980216000000000420e+00
2.352549924093505218e-01,3.543850892349754922e+00,3.301637999999999629e+00,3.255878000000000050e+00
9.139278169372901939e-01,4.174480507990581124e+00,4.156298000000000492e+00,4.621555999999999997e+00
1.882535239499500135e-01,3.510519706554005470e+00,3.634176999999999769e+00,2.697680000000000078e+00
6.686685096755574653e-01,3.577908136044753551e+00,3.779951999999999757e+00,2.637399999999999967e+00
2.745045982992198874e-02,6.783714824300013824e+00,5.867500999999999856e+00,6.971519999999999939e+00
3.693694080457422119e-02,3.623156561334045733e+00,3.093183000000000238e+00,4.739666000000000601e+00
1.462032416861840378e-01,4.927271777898341476e+00,4.607298999999999367e+00,4.583999999999999631e+00
1.301365089250581253e-01,7.790559082766128185e+00,6.450552000000000064e+00,7.274888000000000687e+00
