# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85000000000,384.922000,468.037800,872.957800,2.013269,2.565206,1.971065,1.870259,174186,310057
85000000479,375.244100,432.049200,858.132000,3.805088,4.232459,3.703558,1.286643,56712,74568
85000000529,411.823000,445.304300,871.269700,4.346864,4.739231,4.193412,1.228970,49422,72182
85000001931,367.402800,444.615400,870.254500,3.321602,3.781261,3.210984,1.116642,37073,43600
85000002035,359.979100,461.326600,873.243800,2.406649,2.937480,2.306623,1.082695,33793,42565
85000002836,425.010100,439.253400,868.483900,4.257218,4.663928,4.084177,1.013607,27728,36363
85000003728,373.087500,467.739700,845.200700,4.077690,4.487671,3.902291,0.966431,24036,31882
85000004404,392.117500,468.767400,896.237900,4.728520,5.099283,4.554758,0.998027,26469,29122
85000004639,390.987400,466.886300,878.320900,3.937240,4.363846,3.765317,0.914454,20358,28384
85000005333,363.817600,447.285400,879.694100,4.424199,4.817124,4.176544,0.841246,15853,26304
85000005391,391.380900,480.512400,854.348500,3.570663,4.026104,3.391708,0.905096,19740,26167
85000006272,388.605800,512.377400,901.228900,3.603675,4.054222,3.408228,0.860635,16975,24090
85000006273,383.445600,479.202700,875.443700,6.092001,6.384402,5.803171,0.729507,10341,24087
85000007296,342.345100,513.785800,837.399500,4.137834,4.557901,3.857676,0.684677,8545,22161
85000007810,385.107500,461.873600,864.605000,4.927374,5.294874,4.665390,0.788750,13065,21340
85000009132,423.699900,502.633500,900.161300,5.430597,5.757894,5.135199,0.790743,13175,19502
85000009656,393.145700,469.236500,883.894000,4.147694,4.563029,3.931952,0.829000,15165,18875
85000012075,381.512500,490.018500,883.626600,2.953518,3.443319,2.747035,0.763583,11856,16570
85000012590,378.844800,496.262200,887.642600,2.497051,3.026831,2.303346,0.688652,8697,16134
85000012912,394.455600,470.459600,855.916000,4.636654,5.022455,4.304869,0.689708,8740,15867
85000013883,366.479800,474.961700,844.538000,3.506568,3.958977,3.257787,0.682618,8473,15165
85000014269,376.588500,467.709400,871.655600,5.009253,5.374740,4.659053,0.661150,7692,14926
85000014437,364.099100,502.802400,914.101400,3.301638,3.767557,3.059641,0.701268,9182,14811
85000014466,411.203800,466.702100,917.317700,4.156298,4.579169,3.867838,0.677908,8294,14791
85000015928,387.634400,471.410000,903.677700,3.634177,4.086401,3.400002,0.728271,10284,13951
85000017865,369.339600,500.877600,907.377400,3.779952,4.230548,3.428870,0.571849,4979,12974
85000018376,340.946800,504.264700,863.910500,5.867501,6.170511,5.566323,0.757083,11546,12749
85000021021,366.612900,421.221200,883.283800,3.093183,3.582361,2.885100,0.707580,9433,11666
85000022686,377.991700,489.052900,880.983600,4.607299,4.992011,4.296141,0.718249,9866,11083
85000023452,392.647600,458.390500,859.539600,6.450552,6.723562,6.181475,0.699904,9127,10831
85000024033,379.258400,493.119700,826.779100,4.603160,4.994035,4.206060,0.576488,5101,10645
85000024661,366.466200,472.211400,870.527000,5.181691,5.533779,4.842700,0.708948,9484,10474
85000025068,390.109500,465.455900,868.031600,2.882517,3.375064,2.655282,0.623838,6459,10365
85000025460,377.902000,429.641700,859.073100,4.426561,4.842706,4.009699,0.465483,2687,10250
85000026030,360.826200,426.973700,879.307900,5.869454,6.176517,5.558948,0.612248,6110,10099
85000026420,363.217200,461.637200,873.216600,5.030614,5.395190,4.682667,0.684412,8534,10002
85000028079,378.715800,432.427100,901.562700,5.048350,5.413483,4.691532,0.665281,7841,9591
85000029047,391.599500,469.615600,879.261100,5.110048,5.473361,4.740477,0.514235,3620,9369
85000029978,399.926400,476.667400,850.039900,4.607838,5.001237,4.280592,0.650024,7316,9162
85000032242,391.895000,476.226600,871.329500,5.176600,5.528061,4.819223,0.631146,6697,8719
85000032541,414.672400,517.933300,870.099100,4.833586,5.223936,4.433735,0.448101,2395,8664
85000033639,345.864400,514.593300,840.518600,4.099057,4.525656,3.793261,0.634772,6803,8461
85000034071,384.289500,513.014500,841.556800,5.583234,5.912922,5.258989,0.645664,7165,8382
85000035428,333.237000,462.528900,903.286900,5.320619,5.663401,4.972795,0.611829,6096,8154
85000035789,379.869900,460.154000,867.614300,4.979442,5.354001,4.598192,0.534675,4066,8094
85000036262,380.269800,466.516700,860.931200,4.930203,5.301151,4.561517,0.623652,6460,8019
85000036880,404.393700,452.356600,879.149500,5.628410,5.952673,5.300497,0.598431,5701,7927
85000037775,351.696600,502.079700,859.522400,5.491090,5.830952,5.160750,0.616915,6253,7786
85000040263,333.156600,507.749100,890.590900,3.913952,4.347243,3.547082,0.584133,5306,7438
85000040690,383.114500,486.521800,852.659900,3.191943,3.672857,2.890850,0.598086,5698,7378
85000040714,390.395900,460.233500,861.509800,3.889496,4.333037,3.530864,0.569652,4926,7375
85000041075,337.782800,512.268800,838.113300,2.958210,3.456704,2.631424,0.597407,5679,7328
85000042541,390.921900,420.957300,915.713000,6.229314,6.521721,5.939153,0.586204,5365,7139
85000042553,377.584400,464.050800,836.232300,4.929036,5.295743,4.551814,0.580487,5211,7137
85000044872,354.577500,492.599800,868.648700,4.936094,5.307763,4.564006,0.569032,4917,6872
85000045529,384.552200,451.604200,858.413100,2.669136,3.187702,2.396989,0.596772,5660,6798
85000046520,400.042700,474.712600,851.836200,5.606611,5.938870,5.275032,0.600279,5760,6694
85000046706,385.016200,508.588100,902.131200,4.022736,4.457647,3.614801,0.548905,4404,6676
85000047354,371.396000,453.017100,870.777500,4.944206,5.329164,4.565662,0.493647,3199,6608
85000047424,360.694700,438.141600,879.378500,3.958436,4.392811,3.584452,0.578177,5147,6601
85000049472,337.362900,464.665000,890.549900,5.533462,5.883382,5.192405,0.492448,3177,6400
85000050647,412.796200,478.309600,868.048700,5.002383,5.373704,4.624685,0.547605,4378,6289
85000051745,401.839200,458.950300,872.153300,3.517802,3.981896,3.207558,0.567879,4880,6190
85000052433,380.357300,501.127700,891.733900,4.941511,5.321813,4.557109,0.457914,2561,6128
85000052632,342.680400,464.240900,886.219100,4.915279,5.294100,4.544683,0.566788,4848,6111
85000053895,373.102100,515.536600,846.556500,5.977794,6.280308,5.669344,0.582005,5249,6004
85000058103,392.429900,467.249700,858.747300,3.414932,3.886002,3.020550,0.525470,3863,5667
85000058463,399.713700,479.959500,844.526600,3.123363,3.612742,2.871364,0.580829,5212,5639
85000058987,410.955700,451.690900,871.006400,3.093601,3.591197,2.684014,0.482508,2996,5599
85000059075,381.370100,454.073000,892.252800,5.907623,6.234866,5.578381,0.408047,1808,5593
85000060687,386.022900,444.608800,883.343700,4.472736,4.880105,4.064759,0.505980,3449,5476
85000061794,372.341600,476.331600,864.117200,3.006160,3.501482,2.714665,0.550682,4444,5401
85000065581,373.714400,457.582400,873.413900,4.081318,4.510032,3.675152,0.521429,3774,5158
85000065780,425.931200,482.179500,860.209700,3.302546,3.782628,2.966774,0.538160,4150,5147
85000066102,361.045100,518.584000,895.404500,3.030098,3.533676,2.685154,0.531718,4003,5128
85000066479,409.273400,450.904400,887.208700,4.113251,4.538721,3.737066,0.552778,4486,5104
85000066576,371.146300,478.147200,847.447600,3.172908,3.659398,2.859683,0.549762,4423,5098
85000066849,396.320200,480.461500,887.026900,2.765448,3.272897,2.492073,0.548805,4400,5082
85000067791,351.663000,495.913900,865.122800,3.001739,3.504003,2.684688,0.518621,3714,5026
