# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85000000000,384.922000,468.037800,872.957800,15.734784,15.907731,15.328774,7.038130,310056,310057
85000000479,375.244100,432.049200,858.132000,15.435778,15.839052,15.043350,3.121465,74567,74568
85000000529,411.823000,445.304300,871.269700,11.931401,12.084257,11.780117,2.714981,72181,72182
85000001931,367.402800,444.615400,870.254500,10.329911,10.371541,10.289246,2.101704,43599,43600
85000002035,359.979100,461.326600,873.243800,11.502682,11.627486,11.375392,2.487347,42564,42565
85000002836,425.010100,439.253400,868.483900,25.493124,26.288834,24.399329,3.139162,36362,36363
85000003728,373.087500,467.739700,845.200700,23.362361,24.217243,22.397436,2.923099,31881,31882
85000004404,392.117500,468.767400,896.237900,13.521047,13.794820,13.254971,1.779585,29121,29122
85000004639,390.987400,466.886300,878.320900,15.688389,16.113624,15.266930,2.317598,28383,28384
85000005333,363.817600,447.285400,879.694100,22.926733,23.745685,21.986238,2.974152,26303,26304
85000005391,391.380900,480.512400,854.348500,11.423911,11.550367,11.299951,1.918545,26166,26167
85000006272,388.605800,512.377400,901.228900,9.623824,9.674637,9.572109,1.756731,24089,24090
85000006273,383.445600,479.202700,875.443700,30.846397,32.114159,29.327775,3.856022,24086,24087
85000007296,342.345100,513.785800,837.399500,13.843054,14.143217,13.543773,2.748889,22160,22161
85000007810,385.107500,461.873600,864.605000,15.527072,15.941951,15.103667,2.110998,21339,21340
85000009132,423.699900,502.633500,900.161300,14.653667,15.017369,14.299093,1.797095,19501,19502
85000009656,393.145700,469.236500,883.894000,16.986741,17.511751,16.469304,1.956399,18874,18875
85000012075,381.512500,490.018500,883.626600,10.998394,11.100776,10.897923,1.753329,16569,16570
85000012590,378.844800,496.262200,887.642600,10.461751,10.534470,10.390388,2.032462,16133,16134
85000012912,394.455600,470.459600,855.916000,19.156123,19.837638,18.464005,2.316108,15866,15867
85000013883,366.479800,474.961700,844.538000,18.797334,19.459032,18.143665,2.482582,15164,15165
85000014269,376.588500,467.709400,871.655600,15.645008,16.082071,15.213203,2.045708,14925,14926
85000014437,364.099100,502.802400,914.101400,14.400391,14.746199,14.047624,2.018211,14810,14811
85000014466,411.203800,466.702100,917.317700,26.802789,28.049042,25.569578,2.885283,14790,14791
85000015928,387.634400,471.410000,903.677700,10.211553,10.284130,10.137684,1.482586,13950,13951
85000017865,369.339600,500.877600,907.377400,11.908533,12.083753,11.737310,2.149419,12973,12974
85000018376,340.946800,504.264700,863.910500,15.527151,15.966753,15.086625,1.339738,12748,12749
85000021021,366.612900,421.221200,883.283800,13.955755,14.277996,13.634404,1.635863,11665,11666
85000022686,377.991700,489.052900,880.983600,13.674751,13.993182,13.352766,1.327896,11082,11083
85000023452,392.647600,458.390500,859.539600,27.803882,29.113205,26.471543,1.770500,10830,10831
85000024033,379.258400,493.119700,826.779100,16.304249,16.795000,15.807693,2.030050,10644,10645
85000024661,366.466200,472.211400,870.527000,13.140350,13.402330,12.871691,1.205514,10473,10474
