haloID,c,n_particles,virial_r
00000,9.60752829595,23735,207.11499608
00001,10.8411555857,468,207.11499608
00002,9.3636907897,11623,207.11499608
00003,9.55489039043,326,207.11499608
00004,9.23701005206,2142,207.11499608
00005,10.3518523472,331,207.11499608
00006,10.3662859643,652,207.11499608
00007,9.05772522089,4514,207.11499608
00008,9.83857590513,2954,207.11499608
00009,8.419377762,797,207.11499608
00010,9.61446758834,5750,207.11499608
00011,9.84024418036,1719,207.11499608
00012,9.60731270401,8445,207.11499608
00013,9.36310938461,8082,207.11499608
00014,9.19850065139,2391,207.11499608
00015,9.60146496009,8621,207.11499608
00016,9.54927882821,4274,207.11499608
00017,9.01741803401,2503,207.11499608
00018,9.9366936894,6668,207.11499608
00019,11.6260142234,572,207.11499608
00020,9.48809440321,4130,207.11499608
00021,9.28568387816,3816,207.11499608
00022,9.7019019062,1456,207.11499608
00023,12.7819132679,514,207.11499608
00024,8.96262612751,1237,207.11499608
00025,9.18024749246,12645,207.11499608
00026,9.70393512382,18857,207.11499608
00027,9.74181123897,7107,207.11499608
00028,9.54337996392,1041,207.11499608
00029,8.36279808158,307,207.11499608
00030,11.4864279652,894,207.11499608
00031,9.00762285351,14501,207.11499608
00032,10.6538275153,478,207.11499608
00033,9.42672024979,21229,207.11499608
00034,9.63772237318,13189,207.11499608
00035,9.59992924956,1884,207.11499608
00036,9.68616281342,1181,207.11499608
00037,10.2447443776,340,207.11499608
00038,9.74598920123,1543,207.11499608
00039,9.79988244612,2195,207.11499608
00040,8.98543561002,3126,207.11499608
00041,9.06937819384,7557,207.11499608
00042,9.68700959004,1080,207.11499608
00043,9.10197648359,6331,207.11499608
00044,7.63548900074,324,207.11499608
00045,9.35812391097,2014,207.11499608
00046,9.5829250771,7173,207.11499608
00047,9.10486791307,17658,207.11499608
00048,8.82110834698,1870,207.11499608
00049,9.76863344458,1524,207.11499608
00050,9.60964504415,1891,207.11499608
00051,10.8825643269,517,207.11499608
00052,11.2093071296,215,207.11499608
00053,9.52161903124,3887,207.11499608
00054,9.72022754377,3194,207.11499608
00055,9.70748186509,729,207.11499608
00056,10.4113098803,359,207.11499608
00057,10.821068928,538,207.11499608
00058,10.8785251015,1464,207.11499608
00059,10.0278686193,1182,207.11499608
00060,9.49181334271,23446,207.11499608
00061,9.42937539713,1742,207.11499608
00062,9.40330212186,1341,207.11499608
00063,11.2297868752,272,207.11499608
00064,11.6253379873,347,207.11499608
00065,9.30320059633,6630,207.11499608
00066,11.5224576808,745,207.11499608
00067,9.40101134395,14581,207.11499608
00068,8.83061730693,1808,207.11499608
00069,9.23356460264,13122,207.11499608
00070,9.87653713632,5230,207.11499608
00071,9.17787648038,11172,207.11499608
00072,9.3657482051,12970,207.11499608
00073,10.0014743686,1643,207.11499608
00074,9.80526014109,519,207.11499608
00075,9.72056189089,1464,207.11499608
00076,9.63184787145,1224,207.11499608
00077,9.30241207626,4681,207.11499608
00078,9.48648632049,17593,207.11499608
00079,9.79799551486,637,207.11499608
00080,9.60867956406,7065,207.11499608
00081,9.80596888755,3995,207.11499608
00082,9.6090051764,1691,207.11499608
00083,10.470340126,509,207.11499608
00084,10.5681481913,1345,207.11499608
00085,8.86445999736,937,207.11499608
00086,10.638721479,1931,207.11499608
00087,9.47579822273,6892,207.11499608
00088,9.49716468988,2578,207.11499608
00089,9.63712341537,16886,207.11499608
00090,9.5941363089,905,207.11499608
00091,11.2661350739,222,207.11499608
00092,9.18334817085,8408,207.11499608
00093,9.72011986171,2883,207.11499608
