#file,n_vir,m_vir,r_vir,r_s,delta_c
Halo_R_00002.csv,30803,1.05164539e+05,2.11697173e+00,4.05600667e-01,1.30041805e+05
Halo_R_00003.csv,28330,9.67215625e+04,2.05865192e+00,3.55161875e-01,1.64628547e+05
Halo_R_00010.csv,23868,8.14880156e+04,1.94429338e+00,6.05845630e-01,4.35177344e+04
Halo_R_00012.csv,23580,8.05047656e+04,1.93655157e+00,3.11692208e-01,1.91603641e+05
Halo_R_00013.csv,23105,7.88830859e+04,1.92346990e+00,3.12952399e-01,1.86706812e+05
Halo_R_00014.csv,22321,7.62064609e+04,1.90130579e+00,4.58400100e-01,7.66012656e+04
Halo_R_00016.csv,21989,7.50729922e+04,1.89200830e+00,4.56549138e-01,7.57965000e+04
Halo_R_00018.csv,21154,7.22222500e+04,1.86754894e+00,3.75168055e-01,1.13008180e+05
Halo_R_00019.csv,20868,7.12458281e+04,1.85930431e+00,4.51627851e-01,7.44883281e+04
Halo_R_00021.csv,20005,6.82994922e+04,1.83332884e+00,3.04468542e-01,1.79101938e+05
Halo_R_00023.csv,18686,6.37963438e+04,1.79212427e+00,3.43660921e-01,1.28579695e+05
Halo_R_00026.csv,17760,6.06349219e+04,1.76204610e+00,2.83266902e-01,1.91386547e+05
Halo_R_00027.csv,17262,5.89347188e+04,1.74538934e+00,3.64569336e-01,1.02398008e+05
Halo_R_00032.csv,15562,5.31308125e+04,1.68594539e+00,5.39770365e-01,4.05044180e+04
Halo_R_00033.csv,15434,5.26938125e+04,1.68104851e+00,2.03499004e-01,3.74310469e+05
Halo_R_00035.csv,15364,5.24548281e+04,1.67893648e+00,3.41141611e-01,1.12009469e+05
Halo_R_00039.csv,15072,5.14579219e+04,1.66812396e+00,3.90922040e-01,8.03729688e+04
Halo_R_00040.csv,15021,5.12838047e+04,1.66627407e+00,3.32460076e-01,1.17784930e+05
Halo_R_00041.csv,14455,4.93514453e+04,1.64510870e+00,3.08851212e-01,1.32162250e+05
Halo_R_00042.csv,14447,4.93241328e+04,1.64478755e+00,5.72862864e-01,3.44494961e+04
Halo_R_00044.csv,14213,4.85252422e+04,1.63588130e+00,2.68645674e-01,1.86751078e+05
Halo_R_00045.csv,14133,4.82521172e+04,1.63237178e+00,6.33870006e-01,2.75552344e+04
Halo_R_00046.csv,14129,4.82384609e+04,1.63263619e+00,2.96205252e-01,1.44404844e+05
Halo_R_00047.csv,14114,4.81872500e+04,1.63209844e+00,3.38088423e-01,1.07016000e+05
Halo_R_00050.csv,13900,4.74566406e+04,1.62350070e+00,4.07908112e-01,7.02025859e+04
Halo_R_00052.csv,13773,4.70230547e+04,1.61870122e+00,4.12366986e-01,6.91931016e+04
Halo_R_00054.csv,13647,4.65928828e+04,1.61336315e+00,3.72121125e-01,8.43740625e+04
Halo_R_00055.csv,13595,4.64153516e+04,1.61168873e+00,3.06335360e-01,1.30475789e+05
Halo_R_00060.csv,13207,4.50906953e+04,1.59632850e+00,3.41093689e-01,9.95012031e+04
Halo_R_00062.csv,13044,4.45342031e+04,1.58971643e+00,7.16978669e-01,2.09053984e+04
Halo_R_00064.csv,12841,4.38411484e+04,1.58114588e+00,2.55183756e-01,1.88253625e+05
Halo_R_00066.csv,12478,4.26018438e+04,1.56640685e+00,3.00209701e-01,1.28069742e+05
Halo_R_00067.csv,12348,4.21580156e+04,1.56072938e+00,2.68574744e-01,1.65415125e+05
Halo_R_00069.csv,12245,4.18063672e+04,1.55637980e+00,4.29537863e-01,5.62641133e+04
Halo_R_00070.csv,12185,4.16015234e+04,1.55396891e+00,3.92075986e-01,6.83608594e+04
Halo_R_00071.csv,12103,4.13215703e+04,1.55047703e+00,3.57275486e-01,8.40687422e+04
Halo_R_00073.csv,12091,4.12806016e+04,1.54997969e+00,3.39728743e-01,9.34597031e+04
Halo_R_00074.csv,12078,4.12362188e+04,1.54932117e+00,3.12871158e-01,1.12328227e+05
Halo_R_00075.csv,11840,4.04236719e+04,1.53920960e+00,2.36187056e-01,2.11906719e+05
Halo_R_00076.csv,11789,4.02495547e+04,1.53701150e+00,2.45554417e-01,1.94739219e+05
Halo_R_00077.csv,11781,4.02222422e+04,1.53668272e+00,3.76106888e-01,7.46983125e+04
Halo_R_00078.csv,11585,3.95530859e+04,1.52803731e+00,4.49162692e-01,4.99727188e+04
Halo_R_00079.csv,11508,3.92902031e+04,1.52447379e+00,3.48273128e-01,8.74638594e+04
Halo_R_00083.csv,11278,3.85049688e+04,1.51449084e+00,2.86810935e-01,1.30190648e+05
Halo_R_00084.csv,11210,3.82728125e+04,1.51140559e+00,4.05868769e-01,6.04833359e+04
Halo_R_00088.csv,10909,3.72451797e+04,1.49742568e+00,2.35268712e-01,2.04528328e+05
Halo_R_00089.csv,10904,3.72281094e+04,1.49735010e+00,2.38813117e-01,2.00330531e+05
Halo_R_00090.csv,10899,3.72110391e+04,1.49732053e+00,3.07904482e-01,1.08216844e+05
Halo_R_00091.csv,10703,3.65418828e+04,1.48809648e+00,2.05942318e-01,2.73699031e+05
Halo_R_00092.csv,10638,3.63199688e+04,1.48525608e+00,2.74708927e-01,1.40183438e+05
Halo_R_00093.csv,10626,3.62790000e+04,1.48416758e+00,2.57888943e-01,1.60443984e+05
Halo_R_00094.csv,10618,3.62516875e+04,1.48413742e+00,3.12443763e-01,1.02799344e+05
Halo_R_00095.csv,10610,3.62243750e+04,1.48350728e+00,2.06550494e-01,2.69646688e+05
Halo_R_00096.csv,10602,3.61970625e+04,1.48355782e+00,2.50133604e-01,1.69900266e+05
