#file,n_vir,m_vir,r_vir,r_s,delta_c
Halo_NR_00000.csv,36356,1.24122828e+05,2.23709130e+00,6.73203588e-01,4.82613320e+04
Halo_NR_00001.csv,35487,1.21156008e+05,2.21907711e+00,7.06581652e-01,4.13798086e+04
Halo_NR_00004.csv,26965,9.20613672e+04,2.02519512e+00,4.96317327e-01,7.38478203e+04
Halo_NR_00005.csv,26368,9.00231719e+04,2.01004171e+00,8.01613927e-01,2.65203105e+04
Halo_NR_00006.csv,25487,8.70153828e+04,1.98718548e+00,5.84779024e-01,4.96121758e+04
Halo_NR_00007.csv,24535,8.37651953e+04,1.96227944e+00,4.80629802e-01,7.69740469e+04
Halo_NR_00008.csv,24258,8.28195000e+04,1.95498109e+00,6.73053324e-01,3.61638789e+04
Halo_NR_00009.csv,24210,8.26556250e+04,1.95373178e+00,9.65329826e-01,1.64258008e+04
Halo_NR_00011.csv,23698,8.09076250e+04,1.93940020e+00,6.12203419e-01,4.38886016e+04
Halo_NR_00015.csv,22190,7.57592188e+04,1.89751995e+00,5.24908483e-01,5.96535859e+04
Halo_NR_00017.csv,21447,7.32225703e+04,1.87638044e+00,4.68447268e-01,7.06799297e+04
Halo_NR_00020.csv,20428,6.97436406e+04,1.84604025e+00,3.84107292e-01,1.06916469e+05
Halo_NR_00022.csv,19063,6.50834453e+04,1.80401552e+00,5.54062009e-01,4.59214336e+04
Halo_NR_00024.csv,18031,6.15601328e+04,1.77084947e+00,3.34237516e-01,1.34484750e+05
Halo_NR_00025.csv,17781,6.07066172e+04,1.76262426e+00,3.79005402e-01,9.89737031e+04
Halo_NR_00028.csv,16494,5.63127188e+04,1.71908033e+00,5.01443982e-01,5.04462148e+04
Halo_NR_00029.csv,16080,5.48992969e+04,1.70437586e+00,6.06328130e-01,3.38064492e+04
Halo_NR_00030.csv,16033,5.47388359e+04,1.70281529e+00,4.12267625e-01,7.48312500e+04
Halo_NR_00031.csv,15588,5.32195781e+04,1.68686175e+00,5.51622808e-01,3.95937070e+04
Halo_NR_00034.csv,15425,5.26630859e+04,1.68080282e+00,2.02854872e-01,3.78275375e+05
Halo_NR_00036.csv,15327,5.23285078e+04,1.67745364e+00,3.70355517e-01,9.40517812e+04
Halo_NR_00037.csv,15097,5.15432734e+04,1.66905737e+00,7.56733716e-01,2.03058125e+04
Halo_NR_00038.csv,15092,5.15262031e+04,1.66878927e+00,4.02531058e-01,7.84036016e+04
Halo_NR_00043.csv,14419,4.92285391e+04,1.64363086e+00,5.86528301e-01,3.26767051e+04
Halo_NR_00048.csv,13949,4.76239297e+04,1.62510145e+00,3.77023131e-01,8.33303672e+04
Halo_NR_00049.csv,13928,4.75522344e+04,1.62440181e+00,4.51753646e-01,5.80398047e+04
Halo_NR_00051.csv,13845,4.72688672e+04,1.62153840e+00,6.74915612e-01,2.44784023e+04
Halo_NR_00053.csv,13770,4.70128125e+04,1.61834180e+00,3.49188656e-01,1.00978961e+05
Halo_NR_00056.csv,13487,4.60466328e+04,1.60731077e+00,6.37873769e-01,2.80007891e+04
Halo_NR_00057.csv,13439,4.58827578e+04,1.60561812e+00,4.69323158e-01,5.09644883e+04
Halo_NR_00058.csv,13434,4.58656875e+04,1.60520697e+00,3.43068600e-01,1.00014023e+05
Halo_NR_00059.csv,13287,4.53638203e+04,1.59933281e+00,6.10362351e-01,2.91346641e+04
Halo_NR_00061.csv,13149,4.48926797e+04,1.59399343e+00,2.44398028e-01,2.15962141e+05
Halo_NR_00063.csv,12974,4.42952188e+04,1.58687866e+00,3.46089542e-01,9.63393281e+04
Halo_NR_00065.csv,12836,4.38240781e+04,1.58116400e+00,5.14759362e-01,4.10700977e+04
Halo_NR_00068.csv,12341,4.21341172e+04,1.56068087e+00,4.59566057e-01,4.94339883e+04
Halo_NR_00072.csv,12097,4.13010859e+04,1.55004823e+00,2.64809340e-01,1.73681047e+05
Halo_NR_00080.csv,11383,3.88634453e+04,1.51911771e+00,4.93945688e-01,4.02184492e+04
Halo_NR_00081.csv,11350,3.87507812e+04,1.51733196e+00,7.45265126e-01,1.79515371e+04
Halo_NR_00082.csv,11317,3.86381172e+04,1.51620483e+00,4.29910511e-01,5.34730117e+04
Halo_NR_00085.csv,10989,3.75183047e+04,1.50141466e+00,4.49301183e-01,4.70484336e+04
Halo_NR_00086.csv,10955,3.74022266e+04,1.49987829e+00,6.51159763e-01,2.22484922e+04
Halo_NR_00087.csv,10937,3.73407734e+04,1.49904788e+00,3.17804933e-01,1.02514414e+05
Halo_NR_00100.csv,10401,3.55108359e+04,1.47408736e+00,4.21705544e-01,5.37287109e+04
Halo_NR_00104.csv,10312,3.52069844e+04,1.46861196e+00,3.44322175e-01,8.51405703e+04
Halo_NR_00108.csv,10233,3.49372734e+04,1.46602666e+00,9.74164665e-01,9.53301367e+03
Halo_NR_00110.csv,10161,3.46914609e+04,1.46251786e+00,3.65606308e-01,6.98643203e+04
Halo_NR_00111.csv,10150,3.46539062e+04,1.46150422e+00,2.87201494e-01,1.24802250e+05
Halo_NR_00115.csv,10059,3.43432266e+04,1.45686150e+00,5.69030643e-01,2.78856543e+04
Halo_NR_00116.csv,9990,3.41076562e+04,1.45442665e+00,5.33248842e-01,3.09718281e+04
Halo_NR_00119.csv,9927,3.38925703e+04,1.45077455e+00,3.01503241e-01,1.09811414e+05
Halo_NR_00120.csv,9899,3.37969766e+04,1.44992161e+00,3.15188199e-01,9.52141953e+04
Halo_NR_00124.csv,9588,3.27352012e+04,1.43428290e+00,3.32120657e-01,8.46256875e+04
Halo_NR_00125.csv,9558,3.26327793e+04,1.43319368e+00,1.52345806e-01,5.22819625e+05
Halo_NR_00127.csv,9517,3.24928027e+04,1.43067217e+00,3.96075338e-01,5.64808828e+04
Halo_NR_00128.csv,9489,3.23972090e+04,1.42953324e+00,3.13362211e-01,9.56358359e+04
Halo_NR_00136.csv,9287,3.17075684e+04,1.41948974e+00,5.26442349e-01,3.06887383e+04
Halo_NR_00139.csv,9128,3.11647324e+04,1.41139233e+00,3.64799500e-01,6.64979297e+04
Halo_NR_00141.csv,9020,3.07960137e+04,1.40568078e+00,2.88290590e-01,1.11683719e+05
Halo_NR_00142.csv,8957,3.05809277e+04,1.40218270e+00,3.08519304e-01,9.32594766e+04
Halo_NR_00143.csv,8946,3.05433730e+04,1.40197217e+00,4.83338296e-01,3.49303398e+04
Halo_NR_00145.csv,8884,3.03317012e+04,1.39858210e+00,7.83311725e-01,1.32916230e+04
Halo_NR_00147.csv,8865,3.02668340e+04,1.39760959e+00,5.10732949e-01,3.27245840e+04
Halo_NR_00149.csv,8839,3.01780684e+04,1.39604771e+00,3.68020177e-01,6.25108633e+04
Halo_NR_00150.csv,8762,2.99151855e+04,1.39227998e+00,3.22632492e-01,8.20851719e+04
Halo_NR_00154.csv,8627,2.94542871e+04,1.38477921e+00,3.87288958e-01,5.49502578e+04
Halo_NR_00155.csv,8614,2.94099043e+04,1.38329720e+00,3.86449933e-01,5.61768945e+04
Halo_NR_00159.csv,8493,2.89968027e+04,1.37786150e+00,2.92409539e-01,9.99416250e+04
