#file,c
Halo_R_24951.csv,4.095086
Halo_R_18511.csv,7.177030
Halo_R_04342.csv,7.966739
Halo_R_19040.csv,7.742736
Halo_R_08491.csv,6.148319
Halo_R_26724.csv,6.272259
Halo_R_08882.csv,5.612634
Halo_R_10031.csv,4.843697
Halo_R_18345.csv,5.152504
Halo_R_02217.csv,7.073813
Halo_R_02724.csv,7.622562
Halo_R_25591.csv,6.095626
Halo_R_01898.csv,5.399688
Halo_R_20694.csv,5.026027
Halo_R_14745.csv,6.195091
Halo_R_06772.csv,7.547833
Halo_R_04655.csv,3.392466
Halo_R_00986.csv,4.508465
Halo_R_18303.csv,8.841352
Halo_R_19099.csv,9.519276
Halo_R_30863.csv,7.102556
Halo_R_11087.csv,6.918197
Halo_R_17362.csv,4.823645
Halo_R_07548.csv,4.511942
Halo_R_30718.csv,6.066959
Halo_R_13803.csv,5.776823
Halo_R_17486.csv,6.309993
Halo_R_07257.csv,4.198396
Halo_R_11752.csv,8.709881
Halo_R_21047.csv,5.876984
Halo_R_17505.csv,8.334411
Halo_R_18477.csv,7.179665
Halo_R_03917.csv,6.702951
Halo_R_29577.csv,5.700077
Halo_R_00474.csv,4.670644
Halo_R_21525.csv,8.900320
Halo_R_25649.csv,5.168530
Halo_R_15669.csv,6.633599
Halo_R_07107.csv,9.215077
Halo_R_10602.csv,6.869612
Halo_R_01477.csv,5.698865
Halo_R_13402.csv,3.851378
Halo_R_26379.csv,6.121391
Halo_R_01405.csv,5.103960
Halo_R_23401.csv,7.563272
Halo_R_03477.csv,9.279038
Halo_R_14043.csv,6.610368
Halo_R_21868.csv,6.151761
Halo_R_18288.csv,6.716774
Halo_R_19704.csv,9.278854
Halo_R_20004.csv,5.747467
Halo_R_12654.csv,6.371166
Halo_R_09059.csv,7.143497
Halo_R_17289.csv,3.862756
Halo_R_31251.csv,7.764932
Halo_R_02137.csv,6.836025
Halo_R_05634.csv,5.099774
Halo_R_27335.csv,7.976043
Halo_R_09514.csv,5.121269
Halo_R_30212.csv,4.932434
Halo_R_07121.csv,5.733137
Halo_R_00044.csv,7.568394
Halo_R_01658.csv,5.611527
Halo_R_06145.csv,7.488214
Halo_R_13497.csv,5.097230
Halo_R_22924.csv,6.682071
Halo_R_07648.csv,8.445666
Halo_R_19410.csv,6.061658
Halo_R_07788.csv,6.415092
Halo_R_11530.csv,5.241807
Halo_R_06157.csv,2.678837
Halo_R_19390.csv,8.572458
Halo_R_13445.csv,9.794498
Halo_R_24453.csv,6.641641
Halo_R_17411.csv,5.848406
Halo_R_15398.csv,3.924674
Halo_R_07696.csv,9.713457
Halo_R_06528.csv,9.093667
Halo_R_04782.csv,4.006211
Halo_R_01439.csv,5.780127
Halo_R_14302.csv,7.180885
Halo_R_01061.csv,6.049862
Halo_R_03076.csv,5.493697
Halo_R_16062.csv,7.705694
Halo_R_18495.csv,2.328737
Halo_R_28106.csv,6.335847
Halo_R_16044.csv,4.980131
Halo_R_19467.csv,9.771573
Halo_R_10443.csv,4.919719
Halo_R_27189.csv,4.827378
Halo_R_26232.csv,6.266306
Halo_R_07878.csv,4.590844
Halo_R_22766.csv,5.858809
Halo_R_06848.csv,6.461616
Halo_R_27119.csv,8.220370
Halo_R_12735.csv,5.646798
Halo_R_12002.csv,3.599470
Halo_R_03657.csv,9.150340
Halo_R_11023.csv,3.472637
Halo_R_07738.csv,4.945276
Halo_R_17201.csv,7.937170
Halo_R_27006.csv,4.212949
Halo_R_22202.csv,6.064252
Halo_R_16800.csv,7.495422
Halo_R_02691.csv,7.009607
Halo_R_14554.csv,6.918123
Halo_R_30778.csv,9.527820
Halo_R_02767.csv,5.621830
Halo_R_14157.csv,5.835540
Halo_R_28902.csv,5.506254
Halo_R_00608.csv,6.747933
Halo_R_23089.csv,6.927406
Halo_R_00091.csv,7.659245
Halo_R_03771.csv,5.135320
Halo_R_01745.csv,6.616623
Halo_R_02876.csv,3.622246
Halo_R_22012.csv,4.007113
Halo_R_17713.csv,9.821148
Halo_R_00885.csv,6.101316
Halo_R_13064.csv,7.967164
Halo_R_30246.csv,2.670888
Halo_R_10350.csv,4.973930
Halo_R_06214.csv,5.687846
Halo_R_08704.csv,7.938384
Halo_R_00437.csv,7.628115
Halo_R_02766.csv,3.854634
Halo_R_28235.csv,5.006714
Halo_R_31050.csv,6.239478
