#file,c
Halo_NR_02494.csv,4.631964
Halo_NR_08777.csv,4.116623
Halo_NR_21674.csv,3.113155
Halo_NR_30184.csv,3.378827
Halo_NR_19967.csv,3.796886
Halo_NR_19728.csv,5.905005
Halo_NR_18858.csv,6.502094
Halo_NR_19166.csv,5.779463
Halo_NR_13067.csv,6.282980
Halo_NR_11029.csv,6.768464
Halo_NR_26408.csv,4.164450
Halo_NR_11039.csv,5.522231
Halo_NR_24229.csv,6.744176
Halo_NR_22494.csv,6.759253
Halo_NR_24755.csv,5.897989
Halo_NR_28665.csv,7.215532
Halo_NR_20702.csv,2.922977
Halo_NR_10972.csv,5.821676
Halo_NR_31083.csv,5.991261
Halo_NR_02567.csv,6.875088
Halo_NR_24213.csv,5.367149
Halo_NR_29802.csv,4.240620
Halo_NR_27177.csv,2.702448
Halo_NR_12800.csv,3.039239
Halo_NR_22944.csv,4.965717
Halo_NR_23384.csv,7.182381
Halo_NR_16113.csv,3.569956
Halo_NR_22687.csv,3.521681
Halo_NR_28695.csv,8.565195
Halo_NR_12680.csv,5.182290
Halo_NR_28606.csv,7.178987
Halo_NR_04863.csv,8.364592
Halo_NR_18329.csv,4.180665
Halo_NR_12357.csv,9.064209
Halo_NR_29354.csv,3.623509
Halo_NR_20796.csv,3.178275
Halo_NR_20382.csv,6.860460
Halo_NR_14137.csv,5.438158
Halo_NR_18544.csv,8.058780
Halo_NR_00022.csv,4.750993
Halo_NR_23569.csv,3.563984
Halo_NR_02265.csv,5.481438
Halo_NR_10844.csv,5.694302
Halo_NR_30998.csv,2.328737
Halo_NR_15641.csv,5.398576
Halo_NR_04466.csv,7.476390
Halo_NR_03254.csv,3.431105
Halo_NR_12202.csv,7.766115
Halo_NR_07919.csv,7.060598
Halo_NR_12064.csv,6.813807
Halo_NR_27620.csv,6.277646
Halo_NR_19370.csv,5.476618
Halo_NR_22282.csv,5.506198
Halo_NR_12457.csv,6.064512
Halo_NR_11021.csv,5.691583
Halo_NR_07149.csv,2.512849
Halo_NR_11329.csv,4.054359
Halo_NR_00536.csv,8.092957
Halo_NR_11514.csv,3.708410
Halo_NR_13182.csv,2.328737
Halo_NR_26627.csv,4.906581
Halo_NR_23001.csv,5.854720
Halo_NR_31180.csv,4.551544
Halo_NR_19120.csv,2.588697
Halo_NR_00190.csv,4.167294
Halo_NR_25718.csv,4.799285
Halo_NR_21921.csv,2.924142
Halo_NR_15502.csv,7.483860
Halo_NR_14289.csv,5.002947
Halo_NR_23060.csv,3.621811
Halo_NR_22623.csv,7.656294
Halo_NR_14937.csv,8.589397
Halo_NR_10311.csv,6.064892
Halo_NR_22713.csv,2.745171
Halo_NR_01216.csv,7.113463
Halo_NR_21697.csv,5.022116
Halo_NR_18935.csv,7.207863
Halo_NR_21400.csv,6.586440
Halo_NR_20044.csv,3.157086
Halo_NR_26193.csv,4.036442
Halo_NR_24853.csv,5.984839
Halo_NR_24280.csv,6.699097
Halo_NR_10087.csv,3.610563
Halo_NR_19563.csv,2.414279
Halo_NR_25608.csv,4.648967
Halo_NR_21089.csv,7.068096
Halo_NR_00891.csv,6.962756
Halo_NR_26279.csv,5.700887
Halo_NR_14103.csv,6.265913
Halo_NR_08035.csv,3.734788
Halo_NR_10628.csv,7.386688
Halo_NR_12192.csv,7.029183
Halo_NR_28489.csv,5.173671
Halo_NR_23244.csv,3.725619
Halo_NR_25971.csv,4.143631
Halo_NR_05064.csv,5.540424
Halo_NR_00216.csv,4.399142
Halo_NR_17702.csv,7.489594
Halo_NR_25227.csv,4.868495
Halo_NR_26060.csv,5.105602
Halo_NR_14497.csv,8.645899
Halo_NR_14525.csv,3.448974
Halo_NR_26003.csv,3.862875
