# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85000000000,384.922000,468.037800,872.957800,9.159681,10.021287,8.277355,7.038130,310056,310057
85000000479,375.244100,432.049200,858.132000,12.938532,14.341928,11.569207,3.121465,74567,74568
85000000529,411.823000,445.304300,871.269700,5.962757,6.616290,5.305139,2.714981,72181,72182
85000001931,367.402800,444.615400,870.254500,8.388405,9.363463,7.423279,2.101704,43599,43600
85000002035,359.979100,461.326600,873.243800,11.067100,12.132311,10.001755,2.487347,42564,42565
85000002836,425.010100,439.253400,868.483900,21.678492,23.930126,19.397836,3.139162,36362,36363
85000003728,373.087500,467.739700,845.200700,17.483778,19.355978,15.562833,2.923099,31881,31882
85000004404,392.117500,468.767400,896.237900,7.858024,8.832609,6.911385,1.779585,29121,29122
85000004639,390.987400,466.886300,878.320900,15.090192,16.667706,13.494286,2.317598,28383,28384
85000005333,363.817600,447.285400,879.694100,11.625991,12.831359,10.426345,2.974152,26303,26304
85000005391,391.380900,480.512400,854.348500,9.610623,10.618196,8.597265,1.918545,26166,26167
85000006272,388.605800,512.377400,901.228900,7.677683,8.703077,6.651042,1.756731,24089,24090
85000006273,383.445600,479.202700,875.443700,14.569351,16.287373,12.873452,3.856022,24086,24087
85000007296,342.345100,513.785800,837.399500,9.449562,10.529105,8.341159,2.748889,22160,22161
85000007810,385.107500,461.873600,864.605000,8.420377,9.352091,7.465078,2.110998,21339,21340
85000009132,423.699900,502.633500,900.161300,7.655532,8.506998,6.778910,1.797095,19501,19502
85000009656,393.145700,469.236500,883.894000,14.835941,16.578126,13.138092,1.956399,18874,18875
85000012075,381.512500,490.018500,883.626600,10.260380,11.483807,9.041946,1.753329,16569,16570
85000012590,378.844800,496.262200,887.642600,7.373310,8.266573,6.470111,2.032462,16133,16134
85000012912,394.455600,470.459600,855.916000,18.664578,20.755231,16.613036,2.316108,15866,15867
85000013883,366.479800,474.961700,844.538000,10.518098,11.542594,9.500070,2.482582,15164,15165
85000014269,376.588500,467.709400,871.655600,9.531925,10.462066,8.627430,2.045708,14925,14926
85000014437,364.099100,502.802400,914.101400,14.852047,16.361191,13.324950,2.018211,14810,14811
85000014466,411.203800,466.702100,917.317700,17.204478,18.859019,15.546724,2.885283,14790,14791
