# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85000000000,384.922000,468.037800,872.957800,2.013296,2.563138,1.968832,1.870259,174185,310057
85000000479,375.244100,432.049200,858.132000,3.804676,4.230358,3.701265,1.286643,56711,74568
85000000529,411.823000,445.304300,871.269700,4.346244,4.740097,4.207155,1.228970,49421,72182
85000001931,367.402800,444.615400,870.254500,3.321697,3.785832,3.186220,1.116642,37072,43600
85000002035,359.979100,461.326600,873.243800,2.405771,2.928182,2.296494,1.082695,33792,42565
85000002836,425.010100,439.253400,868.483900,4.255967,4.659830,4.105772,1.013607,27727,36363
85000003728,373.087500,467.739700,845.200700,4.076780,4.488111,3.902777,0.966431,24035,31882
85000004404,392.117500,468.767400,896.237900,4.728299,5.100394,4.555993,0.998027,26468,29122
85000004639,390.987400,466.886300,878.320900,3.935876,4.359724,3.774530,0.914454,20357,28384
85000005333,363.817600,447.285400,879.694100,4.424546,4.816344,4.162549,0.841246,15852,26304
85000005391,391.380900,480.512400,854.348500,3.569729,4.017880,3.382611,0.905096,19739,26167
85000006272,388.605800,512.377400,901.228900,3.603442,4.054902,3.423564,0.860635,16974,24090
85000006273,383.445600,479.202700,875.443700,6.091826,6.377198,5.798911,0.729507,10340,24087
85000007296,342.345100,513.785800,837.399500,4.136046,4.551187,3.850098,0.684677,8544,22161
85000007810,385.107500,461.873600,864.605000,4.927345,5.291609,4.625125,0.788750,13064,21340
85000009132,423.699900,502.633500,900.161300,5.430703,5.760819,5.149678,0.790743,13174,19502
85000009656,393.145700,469.236500,883.894000,4.145404,4.558839,3.940801,0.829000,15164,18875
85000012075,381.512500,490.018500,883.626600,2.953202,3.445659,2.765628,0.763583,11855,16570
85000012590,378.844800,496.262200,887.642600,2.494289,3.022044,2.315026,0.688652,8696,16134
85000012912,394.455600,470.459600,855.916000,4.635953,5.027652,4.297766,0.689708,8739,15867
85000013883,366.479800,474.961700,844.538000,3.506548,3.958830,3.272639,0.682618,8472,15165
85000014269,376.588500,467.709400,871.655600,5.010134,5.370875,4.642216,0.661150,7691,14926
85000014437,364.099100,502.802400,914.101400,3.301344,3.772657,3.080730,0.701268,9181,14811
85000014466,411.203800,466.702100,917.317700,4.155629,4.567752,3.854923,0.677908,8293,14791
85000015928,387.634400,471.410000,903.677700,3.631673,4.077717,3.375522,0.728271,10283,13951
85000017865,369.339600,500.877600,907.377400,3.776707,4.219275,3.430995,0.571849,4978,12974
85000018376,340.946800,504.264700,863.910500,5.861878,6.164282,5.553442,0.757083,11545,12749
85000021021,366.612900,421.221200,883.283800,3.091426,3.582890,2.869878,0.707580,9432,11666
85000022686,377.991700,489.052900,880.983600,4.605864,4.996740,4.301526,0.718249,9865,11083
85000023452,392.647600,458.390500,859.539600,6.445503,6.715271,6.169155,0.699904,9126,10831
85000024033,379.258400,493.119700,826.779100,4.596545,4.988684,4.196197,0.576488,5100,10645
85000024661,366.466200,472.211400,870.527000,5.178685,5.528231,4.836295,0.708948,9483,10474
85000025068,390.109500,465.455900,868.031600,2.877403,3.372367,2.619562,0.623838,6458,10365
85000025460,377.902000,429.641700,859.073100,4.421568,4.837296,4.003415,0.465483,2686,10250
85000026030,360.826200,426.973700,879.307900,5.867070,6.179421,5.554904,0.612248,6109,10099
85000026420,363.217200,461.637200,873.216600,5.028150,5.394135,4.669138,0.684412,8533,10002
85000028079,378.715800,432.427100,901.562700,5.046148,5.402638,4.691268,0.665281,7840,9591
85000029047,391.599500,469.615600,879.261100,5.103428,5.471262,4.727412,0.514235,3619,9369
85000029978,399.926400,476.667400,850.039900,4.606529,5.002780,4.256068,0.650024,7315,9162
85000032242,391.895000,476.226600,871.329500,5.177419,5.538230,4.826693,0.631146,6696,8719
85000032541,414.672400,517.933300,870.099100,4.833168,5.227559,4.445569,0.448101,2394,8664
85000033639,345.864400,514.593300,840.518600,4.100142,4.525421,3.791394,0.634772,6802,8461
85000034071,384.289500,513.014500,841.556800,5.574986,5.903541,5.249647,0.645664,7164,8382
85000035428,333.237000,462.528900,903.286900,5.310746,5.661545,4.967392,0.611829,6095,8154
85000035789,379.869900,460.154000,867.614300,4.962125,5.328674,4.584763,0.534675,4065,8094
85000036262,380.269800,466.516700,860.931200,4.930139,5.302034,4.587597,0.623652,6459,8019
85000036880,404.393700,452.356600,879.149500,5.621145,5.952840,5.297585,0.598431,5700,7927
85000037775,351.696600,502.079700,859.522400,5.480448,5.813963,5.142618,0.616915,6252,7786
85000040263,333.156600,507.749100,890.590900,3.913380,4.344138,3.572884,0.584133,5305,7438
85000040690,383.114500,486.521800,852.659900,3.188592,3.676661,2.911055,0.598086,5697,7378
85000040714,390.395900,460.233500,861.509800,3.889783,4.330277,3.542457,0.569652,4925,7375
85000041075,337.782800,512.268800,838.113300,2.957958,3.450761,2.657804,0.597407,5678,7328
85000042541,390.921900,420.957300,915.713000,6.228929,6.521947,5.940847,0.586204,5364,7139
85000042553,377.584400,464.050800,836.232300,4.927011,5.301683,4.555221,0.580487,5210,7137
85000044872,354.577500,492.599800,868.648700,4.929386,5.305090,4.553904,0.569032,4916,6872
85000045529,384.552200,451.604200,858.413100,2.667075,3.178141,2.403275,0.596772,5659,6798
85000046520,400.042700,474.712600,851.836200,5.602243,5.931899,5.276376,0.600279,5759,6694
85000046706,385.016200,508.588100,902.131200,4.022176,4.454800,3.655378,0.548905,4403,6676
85000047354,371.396000,453.017100,870.777500,4.933710,5.316438,4.552692,0.493647,3198,6608
85000047424,360.694700,438.141600,879.378500,3.959072,4.398589,3.620260,0.578177,5146,6601
85000049472,337.362900,464.665000,890.549900,5.528038,5.865805,5.183462,0.492448,3176,6400
85000050647,412.796200,478.309600,868.048700,5.000146,5.371591,4.636236,0.547605,4377,6289
85000051745,401.839200,458.950300,872.153300,3.515304,3.981485,3.160779,0.567879,4879,6190
85000052433,380.357300,501.127700,891.733900,4.929071,5.309576,4.541024,0.457914,2560,6128
85000052632,342.680400,464.240900,886.219100,4.914665,5.292343,4.539118,0.566788,4847,6111
85000053895,373.102100,515.536600,846.556500,5.976620,6.278322,5.671430,0.582005,5248,6004
85000058103,392.429900,467.249700,858.747300,3.416097,3.886066,3.068102,0.525470,3862,5667
85000058463,399.713700,479.959500,844.526600,3.115457,3.608670,2.850861,0.580829,5211,5639
85000058987,410.955700,451.690900,871.006400,3.094636,3.594389,2.720896,0.482508,2995,5599
85000059075,381.370100,454.073000,892.252800,5.913070,6.242807,5.582629,0.408047,1807,5593
