# Id,x_center,y_center,z_center,c,f(c),r_vir,n_vir,n_tot
85000000000,384.922000,468.037800,872.957800,2.996402,0.000000,1.870259,174186,310057
85000000479,375.244100,432.049200,858.132000,3.103317,-0.000000,1.286643,56712,74568
85000000529,411.823000,445.304300,871.269700,2.391951,0.000000,1.228970,49422,72182
85000001931,367.402800,444.615400,870.254500,2.815420,0.000000,1.116642,37073,43600
85000002035,359.979100,461.326600,873.243800,3.759268,0.000000,1.082695,33793,42565
85000002836,425.010100,439.253400,868.483900,4.071158,0.000000,1.013607,27728,36363
85000003728,373.087500,467.739700,845.200700,4.249129,0.000000,0.966431,24036,31882
85000004404,392.117500,468.767400,896.237900,5.328288,0.000000,0.998027,26469,29122
85000004639,390.987400,466.886300,878.320900,3.481470,0.000000,0.914454,20358,28384
85000005333,363.817600,447.285400,879.694100,6.297647,-0.000000,0.841246,15853,26304
85000005391,391.380900,480.512400,854.348500,3.626706,-0.000000,0.905096,19740,26167
85000006272,388.605800,512.377400,901.228900,3.232704,0.000000,0.860635,16975,24090
85000006273,383.445600,479.202700,875.443700,6.122279,0.000000,0.729507,10341,24087
85000007296,342.345100,513.785800,837.399500,3.072570,0.000000,0.684677,8545,22161
85000007810,385.107500,461.873600,864.605000,4.247212,0.000000,0.788750,13065,21340
85000009132,423.699900,502.633500,900.161300,5.952778,0.000000,0.790743,13175,19502
85000009656,393.145700,469.236500,883.894000,4.461931,0.000000,0.829000,15165,18875
85000012075,381.512500,490.018500,883.626600,3.335494,-0.000000,0.763583,11856,16570
85000012590,378.844800,496.262200,887.642600,3.033662,0.000000,0.688652,8697,16134
85000012912,394.455600,470.459600,855.916000,3.999514,0.000000,0.689708,8740,15867
85000013883,366.479800,474.961700,844.538000,4.223938,0.000000,0.682618,8473,15165
85000014269,376.588500,467.709400,871.655600,4.980216,-0.000000,0.661150,7692,14926
85000014437,364.099100,502.802400,914.101400,3.255878,0.000000,0.701268,9182,14811
85000014466,411.203800,466.702100,917.317700,4.621556,0.000000,0.677908,8294,14791
85000015928,387.634400,471.410000,903.677700,2.697680,0.000000,0.728271,10284,13951
85000017865,369.339600,500.877600,907.377400,2.637400,0.000000,0.571849,4979,12974
85000018376,340.946800,504.264700,863.910500,6.971520,0.000000,0.757083,11546,12749
85000021021,366.612900,421.221200,883.283800,4.739666,0.000000,0.707580,9433,11666
85000022686,377.991700,489.052900,880.983600,4.584000,0.000000,0.718249,9866,11083
85000023452,392.647600,458.390500,859.539600,7.274888,0.000000,0.699904,9127,10831
85000024033,379.258400,493.119700,826.779100,4.779205,0.000000,0.576488,5101,10645
85000024661,366.466200,472.211400,870.527000,5.700528,0.000000,0.708948,9484,10474
85000025068,390.109500,465.455900,868.031600,2.971386,0.000000,0.623838,6459,10365
85000025460,377.902000,429.641700,859.073100,4.750295,0.000000,0.465483,2687,10250
85000026030,360.826200,426.973700,879.307900,5.800630,-0.000000,0.612248,6110,10099
85000026420,363.217200,461.637200,873.216600,4.505917,0.000000,0.684412,8534,10002
85000028079,378.715800,432.427100,901.562700,4.766650,0.000000,0.665281,7841,9591
85000029047,391.599500,469.615600,879.261100,5.299621,-0.000000,0.514235,3620,9369
85000029978,399.926400,476.667400,850.039900,5.598079,0.000000,0.650024,7316,9162
85000032242,391.895000,476.226600,871.329500,4.413843,0.000000,0.631146,6697,8719
85000032541,414.672400,517.933300,870.099100,3.292362,0.000000,0.448101,2395,8664
85000033639,345.864400,514.593300,840.518600,3.816352,0.000000,0.634772,6803,8461
85000034071,384.289500,513.014500,841.556800,6.647318,0.000000,0.645664,7165,8382
85000035428,333.237000,462.528900,903.286900,5.189882,0.000000,0.611829,6096,8154
85000035789,379.869900,460.154000,867.614300,6.432017,0.000000,0.534675,4066,8094
85000036262,380.269800,466.516700,860.931200,5.947696,0.000000,0.623652,6460,8019
85000036880,404.393700,452.356600,879.149500,5.425362,-0.000000,0.598431,5701,7927
85000037775,351.696600,502.079700,859.522400,5.565621,-0.000000,0.616915,6253,7786
85000040263,333.156600,507.749100,890.590900,2.538252,0.000000,0.584133,5306,7438
85000040690,383.114500,486.521800,852.659900,2.514588,0.000000,0.598086,5698,7378
85000040714,390.395900,460.233500,861.509800,5.628972,0.000000,0.569652,4926,7375
85000041075,337.782800,512.268800,838.113300,2.365923,0.000000,0.597407,5679,7328
85000042541,390.921900,420.957300,915.713000,7.955894,0.000000,0.586204,5365,7139
85000042553,377.584400,464.050800,836.232300,4.222173,0.000000,0.580487,5211,7137
85000044872,354.577500,492.599800,868.648700,6.145367,0.000000,0.569032,4917,6872
85000045529,384.552200,451.604200,858.413100,4.332012,0.000000,0.596772,5660,6798
85000046520,400.042700,474.712600,851.836200,6.040290,0.000000,0.600279,5760,6694
85000046706,385.016200,508.588100,902.131200,4.025446,0.000000,0.548905,4404,6676
85000047354,371.396000,453.017100,870.777500,5.118311,0.000000,0.493647,3199,6608
85000047424,360.694700,438.141600,879.378500,5.553158,0.000000,0.578177,5147,6601
85000049472,337.362900,464.665000,890.549900,7.738309,0.000000,0.492448,3177,6400
85000050647,412.796200,478.309600,868.048700,5.430279,0.000000,0.547605,4378,6289
85000051745,401.839200,458.950300,872.153300,5.030981,-0.000000,0.567879,4880,6190
85000052433,380.357300,501.127700,891.733900,5.722808,0.000000,0.457914,2561,6128
85000052632,342.680400,464.240900,886.219100,5.739179,0.000000,0.566788,4848,6111
85000053895,373.102100,515.536600,846.556500,6.971805,0.000000,0.582005,5249,6004
85000058103,392.429900,467.249700,858.747300,2.406918,-0.000000,0.525470,3863,5667
85000058463,399.713700,479.959500,844.526600,5.689733,-0.000000,0.580829,5212,5639
85000058987,410.955700,451.690900,871.006400,2.386560,-0.000000,0.482508,2996,5599
85000059075,381.370100,454.073000,892.252800,7.109216,0.000000,0.408047,1808,5593
85000060687,386.022900,444.608800,883.343700,3.725639,0.000000,0.505980,3449,5476
85000061794,372.341600,476.331600,864.117200,3.871159,0.000000,0.550682,4444,5401
85000065581,373.714400,457.582400,873.413900,3.507533,-0.000000,0.521429,3774,5158
85000065780,425.931200,482.179500,860.209700,3.047643,0.000000,0.538160,4150,5147
85000066102,361.045100,518.584000,895.404500,3.097768,0.000000,0.531718,4003,5128
85000066479,409.273400,450.904400,887.208700,4.251139,-0.000000,0.552778,4486,5104
85000066576,371.146300,478.147200,847.447600,4.516605,0.000000,0.549762,4423,5098
85000066849,396.320200,480.461500,887.026900,2.776138,0.000000,0.548805,4400,5082
85000067791,351.663000,495.913900,865.122800,3.917369,0.000000,0.518621,3714,5026
85000070654,367.888300,516.056800,826.546300,6.460134,-0.000000,0.545448,4318,4864
85000071632,382.905300,451.907700,881.654800,6.176957,0.000000,0.464648,2670,4813
85000071644,391.507800,458.179500,879.485100,5.384807,0.000000,0.520625,3761,4812
85000072429,351.927500,516.606000,845.900000,6.116819,0.000000,0.472802,2814,4770
85000072502,409.355000,514.051800,874.445900,4.783860,0.000000,0.526371,3886,4765
85000074565,362.767400,475.085800,843.324800,5.994210,0.000000,0.486876,3072,4658
85000075926,384.909200,451.375900,882.399200,4.529345,0.000000,0.458654,2569,4597
85000076969,361.105300,438.795000,833.695100,4.965289,0.000000,0.520418,3766,4546
85000077915,387.443600,478.667100,895.244600,4.677828,0.000000,0.528483,3930,4502
85000077991,422.464800,516.710200,866.777200,2.912629,0.000000,0.501996,3364,4499
85000079224,364.425300,425.641300,880.045100,3.731339,-0.000000,0.529749,3958,4440
85000080091,383.084500,429.635700,862.673200,3.054507,0.000000,0.518188,3704,4402
85000080173,365.529500,455.221800,836.644700,7.026948,-0.000000,0.514856,3636,4399
85000080332,360.442900,440.362400,823.879000,4.662563,0.000000,0.458237,2562,4392
85000080706,405.966200,421.912200,884.705500,4.446778,0.000000,0.511782,3570,4375
85000080926,352.059900,496.852800,871.631000,4.819937,0.000000,0.536877,4122,4365
85000081290,400.400600,453.930200,881.805700,4.907117,0.000000,0.520933,3758,4349
85000081790,384.391800,505.300000,895.043000,8.287635,0.000000,0.520338,3752,4326
85000082175,378.754600,487.261000,880.555100,2.690431,0.000000,0.468604,2742,4310
85000082502,390.362800,465.551700,866.316200,2.328737,0.000000,0.447383,2385,4296
85000082685,426.949200,424.930200,820.592200,9.480931,0.000000,0.513196,3600,4288
85000082810,343.195700,468.443000,884.755300,3.227186,0.000000,0.465558,2687,4283
85000084489,377.165200,422.404800,854.927300,3.857698,0.000000,0.472758,2817,4215
85000086426,340.286800,465.080400,888.379800,6.937013,0.000000,0.401394,1721,4140
85000087228,376.805400,498.523500,894.808600,3.778995,0.000000,0.507679,3485,4110
85000088675,375.335900,428.494000,891.425200,4.747126,-0.000000,0.488542,3100,4054
85000088961,404.359600,485.330800,842.490300,5.253864,0.000000,0.511232,3562,4042
85000090465,408.358900,477.366000,870.388000,4.700685,0.000000,0.399239,1693,3986
85000090628,406.289500,455.482700,872.172200,5.696813,0.000000,0.467558,2720,3981
85000091719,340.707400,501.169200,827.472200,6.584830,0.000000,0.494283,3205,3942
85000092430,385.248100,460.509300,879.782200,3.925425,0.000000,0.476239,2876,3917
85000092704,388.436000,507.624600,834.891200,7.857877,-0.000000,0.474027,2838,3907
85000092984,387.267700,487.543600,883.251900,7.550977,0.000000,0.501686,3364,3898
85000093480,373.158400,490.409700,833.468100,3.355279,-0.000000,0.499210,3311,3881
85000094253,387.405200,492.245800,917.819000,2.916753,0.000000,0.493224,3195,3854
85000095054,385.516500,464.306400,835.613100,5.768723,0.000000,0.452961,2474,3828
85000096976,366.746000,457.256500,842.524800,6.565967,-0.000000,0.499095,3318,3767
85000098216,365.187800,506.311300,824.054400,3.866844,0.000000,0.351868,1155,3729
85000098511,366.759500,459.211600,874.477700,5.873947,0.000000,0.483501,3003,3719
85000099352,359.627700,476.116700,842.774000,6.478653,0.000000,0.485606,3045,3694
85000100294,373.178900,428.542000,888.529000,2.427581,-0.000000,0.474685,2848,3666
85000101087,372.342000,459.511700,875.313800,3.635575,-0.000000,0.469587,2757,3642
85000102787,429.681000,475.064300,842.390700,7.793998,0.000000,0.490704,3145,3593
85000102996,384.077800,443.130900,883.169200,5.900081,-0.000000,0.440647,2278,3587
85000104016,386.629300,509.402800,901.129600,2.426772,0.000000,0.394655,1637,3556
85000104551,383.057300,497.884300,831.644400,5.939337,-0.000000,0.483546,3013,3541
85000106548,335.664200,511.492200,897.302900,4.896442,0.000000,0.485087,3040,3488
