# c,c_20,c_200,c_2000,c_20000
1.007709,1.462233,1.000000,1.000002,1.000026
1.180833,1.408687,1.057250,1.001834,1.000016
1.347911,1.782484,1.214744,1.151538,1.000003
1.390322,1.000080,1.791407,1.316609,1.158798
1.617790,12.475557,1.549947,1.432348,1.110118
2.066534,96.905245,2.238441,1.744074,1.623438
2.076230,1.835422,1.988880,1.731803,2.100731
2.106941,19.611465,2.855162,1.756885,1.651180
2.199624,192507.498935,2.325695,2.357761,1.679371
2.297267,5.501992,12.228440,1.781329,1.614467
2.763174,1.671420,2.101912,2.401982,2.227174
2.813779,1.689508,2.563905,2.022289,1.979829
2.925013,2.842337,2.265849,2.336431,2.001205
3.101340,2.670983,1.781621,2.492381,2.378309
3.279417,2.751132,2.432253,2.413825,2.362679
3.442282,7.558239,3.039460,2.450358,2.531906
3.527214,3.578792,2.716646,2.861024,2.548057
3.807854,3.805860,2.921549,2.731362,3.035658
4.978047,10.963552,4.530183,3.492538,3.765653
5.035796,2.743493,5.074936,4.998647,4.270681
5.072268,8.029321,3.631736,3.531991,3.785098
5.148406,4.596302,4.446593,3.598120,3.625807
5.518204,7.525941,5.804856,4.170205,3.873867
5.727066,4.884990,4.114185,4.675829,3.812901
5.798506,14.550648,4.081571,4.432334,4.272294
6.701354,6.863271,5.317946,7.718862,4.684926
7.818542,277828.762894,6.622356,5.598182,5.858358
7.943400,5.366237,6.841670,5.896004,5.717286
7.945945,17.361101,6.550643,5.897788,7.047018
8.240894,6.364187,7.013642,6.268997,5.968070
8.757001,6.151675,7.553193,6.543182,6.818301
8.782411,5.668011,10.073511,6.991832,6.261390
8.936382,5.722292,6.968807,6.656989,6.480393
9.003429,5.745488,7.759113,7.173787,7.061036
9.064568,1344.915120,6.747224,7.267761,6.490645
9.271830,5.838454,7.699448,7.716571,6.627143
9.733664,7.332883,7.670552,7.185969,6.971698
9.891288,7.402468,8.393728,7.491258,7.110102
9.917696,32.833251,7.283559,7.336140,7.042437
10.099891,6.017275,8.099721,8.111368,7.428309
10.222147,13.743268,7.415772,8.360715,7.239022
10.222325,7.548274,7.415434,8.530421,7.518759
10.412508,7.630964,8.680291,7.651639,6.409561
10.429114,6.227911,7.504514,8.179227,7.363985
10.439027,6.260893,7.673500,8.183188,7.368987
10.603997,7.714451,8.292062,8.218910,7.888444
10.773537,6.339661,13.980803,8.404133,7.634375
10.878302,6.374837,13.012518,7.974815,7.708317
11.083376,6.302418,7.574738,8.644982,7.926891
11.738141,8.195581,8.310482,8.342390,8.369167
11.909660,6.699602,9.903858,9.222933,8.364721
12.149456,8.366051,10.168695,9.771454,9.123248
12.156067,195.423155,8.886796,9.497725,8.148653
12.202090,8.386917,8.806588,10.790301,9.221297
12.337788,13.738572,8.104051,8.415022,9.034726
12.352563,8.448918,9.631690,8.703640,8.641151
12.516271,8.515945,8.439311,9.147193,8.671877
12.559225,15.921198,8.265005,9.787686,8.445143
12.748383,27785.507383,10.770354,9.920787,9.230132
12.806981,6.974065,10.615720,9.377780,8.979135
12.856114,12.285249,9.163169,9.397227,8.174282
13.259704,7.109196,10.841404,9.542962,9.395465
13.356912,8.854858,9.382564,9.243109,9.694952
13.570040,19.448851,11.262019,10.348746,9.869272
13.702603,8.991890,15.799883,10.592588,10.082842
13.961234,9.093151,11.457030,10.795347,10.095102
14.065274,7.514319,9.143630,10.495637,10.199885
14.317795,7.589291,13.265397,11.221011,10.312285
14.433938,63.574230,11.692052,10.117686,10.444279
14.691518,7.697111,10.241075,11.464052,10.589127
14.701147,7.699939,11.912479,11.667317,10.992882
14.799826,7.729164,12.303798,14.210985,9.780807
15.123966,125377.718294,10.596838,10.538395,11.135269
15.438708,7.911705,12.223638,12.353630,11.105928
15.495711,9.831907,11.026471,11.244106,11.601512
15.566452,7.948067,12.635286,12.585049,10.771403
15.581234,12.743743,12.623813,11.124403,10.783619
15.634736,32.328427,10.150554,11.941291,11.271328
15.681511,9.904197,13.379322,10.490941,10.840799
15.909645,57258.779073,8.514868,12.214563,11.329798
16.152575,49233.502667,11.577847,12.262520,11.642861
16.237385,8.136267,11.376601,12.716200,11.181380
16.915114,28.947997,15.051145,11.715149,11.854512
16.944469,226.848053,11.592269,12.792137,12.272958
17.214577,12.641167,14.522877,12.071006,12.254729
17.220711,11.370944,12.295703,13.431432,12.260751
17.740679,8.546417,12.037698,13.649364,11.884044
18.175312,9.830822,13.276212,11.693112,12.865563
18.199059,8.667350,15.219408,12.953166,12.950668
18.264256,8.685038,23.875006,11.887676,12.499921
18.300100,35.095999,14.818460,13.902547,11.917160
18.566839,10.836368,12.606117,13.645007,12.690180
18.569043,8.765492,13.677310,13.646821,16.601166
18.727468,50.786049,12.092619,14.188129,12.243087
18.984821,18.312396,13.455538,14.946549,14.336645
19.309696,81.133976,14.463735,13.650744,13.558369
19.322978,25.767994,13.537783,12.728490,13.883482
19.522040,9.012030,13.513087,14.745916,13.555343
19.863073,9.663387,13.632203,14.432224,14.780196
19.894422,9.640383,16.524574,12.497940,12.560716
