# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
1,0.023989,0.132440,-0.071805,1.000012,1.756455,1.000012,0.961538,19,20
2,-0.000000,-0.000000,0.000000,1.132921,1.965471,1.000002,0.959432,19,20
3,0.085274,-0.003077,-0.303394,2.766653,3.472080,2.071260,1.060998,19,20
4,0.000000,0.000000,0.000000,1.331002,2.384135,1.000033,0.957317,19,20
5,0.129907,-0.003635,0.011340,2.413764,3.361057,1.472247,1.038462,19,20
6,-0.062594,0.093091,0.038209,2.409716,3.394143,1.432751,0.874452,19,20
7,-0.000000,0.000000,0.000000,1.974838,2.678093,1.269401,0.951159,19,20
8,-0.012555,-0.095691,0.067125,3.255786,4.203017,2.327582,1.059773,19,20
9,-0.299715,-0.130330,0.240915,7.685588,9.537912,5.845660,1.356027,19,20
10,-0.109722,-0.126780,-0.037104,3.250199,4.362097,2.125970,1.074169,19,20
11,0.000000,-0.000000,-0.000000,2.613590,3.957996,1.240155,0.945885,19,20
12,0.000000,0.000000,-0.000000,2.660434,3.610472,1.701789,0.945525,19,20
13,0.087471,-0.001143,0.051716,2.458938,4.973212,1.000325,0.891697,19,20
14,-0.000000,-0.000000,-0.000000,2.926281,3.841837,1.984349,0.943542,19,20
15,-0.000000,0.000000,0.000000,3.090447,4.326000,1.869610,0.942364,19,20
16,-0.063780,-0.046830,0.050593,4.110053,5.643522,2.582478,1.010254,19,20
17,-0.000000,0.000000,0.000000,3.318242,4.683237,1.990166,0.940786,19,20
18,-0.057150,0.125253,0.009172,5.195769,7.856859,2.516892,0.952309,19,20
19,0.051057,-0.015997,-0.055910,7.260561,9.868513,4.657015,0.997985,19,20
20,0.055431,0.060963,-0.087621,5.324949,7.614324,3.063090,0.882949,19,20
21,-0.056709,0.051475,0.000326,5.864454,8.318542,3.424595,0.943715,19,20
22,0.000000,-0.000000,0.000000,4.797279,6.730987,2.812511,0.931814,19,20
23,0.028744,0.026253,0.061822,6.108182,8.564186,3.679220,0.946192,19,20
24,0.000000,-0.000000,-0.000000,5.320849,6.490229,4.167993,0.929060,19,20
25,-0.011195,-0.069460,-0.009725,7.038798,8.750347,5.375582,0.976549,19,20
26,-0.021540,0.004594,0.061461,9.442330,11.771704,7.168982,0.981564,19,20
27,0.019066,0.079658,-0.047870,8.093579,10.831030,5.355850,0.915392,19,20
28,0.000000,0.000000,0.000000,7.308099,9.475512,5.122821,0.920020,19,20
29,-0.067935,-0.063475,-0.013876,6.716291,8.357096,5.079107,0.857116,19,20
30,-0.012649,0.009741,0.090675,11.287336,16.290579,6.139121,0.941662,19,20
31,0.017769,-0.038140,-0.078316,9.970324,12.599590,7.331579,0.950555,19,20
32,0.000000,0.000000,0.000000,8.054614,10.286693,5.773188,0.917077,19,20
33,0.000000,-0.000000,0.000000,8.190767,13.127577,3.183958,0.916561,19,20
34,0.000000,0.000000,-0.000000,8.250529,11.151254,5.271507,0.916338,19,20
35,-0.024772,0.041761,-0.024324,10.960939,13.737450,8.224026,0.952773,19,20
36,0.000000,-0.000000,-0.000000,8.488050,11.552803,5.434461,0.915458,19,20
37,0.000000,-0.000000,0.000000,8.896607,11.168756,6.628398,0.913987,19,20
38,-0.000000,0.000000,-0.000000,9.035683,12.194887,5.812788,0.913498,19,20
39,-0.006858,0.010434,0.049762,11.302065,15.430881,7.158477,0.903645,19,20
40,0.043782,0.008373,0.024182,9.584507,11.430925,7.694936,0.911925,19,20
41,-0.026190,-0.026475,0.033846,9.762808,13.110351,6.508760,0.881672,19,20
42,-0.000000,0.000000,0.000000,9.327919,12.091827,6.525582,0.912490,19,20
43,-0.000000,0.000000,0.000000,9.495352,11.503948,7.475080,0.911922,19,20
44,-0.000000,0.000000,-0.000000,9.510184,13.760509,5.227353,0.911872,19,20
45,0.028383,0.071647,-0.022057,10.204657,13.976447,6.399364,0.934899,19,20
46,-0.000000,-0.000000,-0.000000,9.664194,11.524308,7.763159,0.911358,19,20
47,0.000000,0.000000,0.000000,9.813207,13.185689,6.439578,0.910866,19,20
48,0.000000,-0.000000,0.000000,9.905211,12.201831,7.605246,0.910565,19,20
49,0.029045,-0.012345,0.035855,11.289736,15.138745,7.471424,0.888302,19,20
50,0.000000,0.000000,-0.000000,10.660522,13.807681,7.526566,0.908175,19,20
51,0.000000,0.000000,0.000000,10.810646,14.620289,6.943068,0.907715,19,20
52,-0.000000,0.000000,-0.000000,11.020453,13.486580,8.483441,0.907081,19,20
53,-0.000778,-0.011169,-0.043551,12.331390,14.926489,9.698082,0.928251,19,20
54,-0.000000,0.000000,0.000000,11.066396,24.786671,3.754494,0.906943,19,20
55,0.024084,0.037375,0.002435,14.069797,20.136222,7.926175,0.930878,19,20
56,0.000000,-0.000000,0.000000,11.198163,14.830203,7.563823,0.906552,19,20
57,0.000000,-0.000000,0.000000,11.341363,14.317264,8.403267,0.906130,19,20
58,-0.027582,-0.018742,0.028720,11.941397,15.305786,8.594523,0.892597,19,20
59,0.032073,0.022924,-0.018566,17.353998,22.648853,11.971838,0.871089,19,20
60,0.000000,0.000000,0.000000,11.595449,14.933989,8.347300,0.905392,19,20
61,-0.026487,-0.025223,-0.023239,15.997994,19.325735,12.759174,0.931331,19,20
62,0.000000,0.000000,-0.000000,11.990221,15.136519,8.868194,0.904270,19,20
63,-0.000000,0.000000,-0.000000,12.075066,15.438578,8.802283,0.904033,19,20
64,0.022806,0.013615,-0.032277,13.292859,19.485283,7.151832,0.899040,19,20
65,-0.000000,0.000000,0.000000,12.376421,16.085089,8.681922,0.903202,19,20
66,-0.000000,-0.000000,-0.000000,12.601255,26.966387,4.272915,0.902591,19,20
67,0.000000,-0.000000,0.000000,12.691947,16.050770,9.399353,0.902348,19,20
68,0.000000,0.000000,0.000000,12.911272,15.698547,10.122911,0.901764,19,20
69,0.013630,-0.005849,-0.037259,12.846392,17.005750,8.672300,0.875789,19,20
70,0.000000,-0.000000,0.000000,13.236128,16.741606,9.804426,0.900916,19,20
71,0.000000,0.000000,-0.000000,13.244288,15.610789,10.878556,0.900894,19,20
72,0.000000,0.000000,-0.000000,13.330139,16.815988,9.851537,0.900673,19,20
73,-0.032550,-0.012485,-0.017158,14.118485,18.832123,9.375759,0.901353,19,20
74,0.000000,0.000000,-0.000000,13.883493,17.641813,10.225994,0.899271,19,20
75,-0.000000,-0.000000,-0.000000,13.933047,19.350389,8.466165,0.899149,19,20
76,-0.000000,0.000000,-0.000000,13.993838,19.374537,8.539049,0.898997,19,20
77,-0.008961,0.032786,-0.017164,14.741154,20.406360,8.980993,0.886511,19,20
78,0.005980,-0.028016,0.024947,14.483031,19.937501,9.102933,0.899382,19,20
79,0.000000,-0.000000,0.000000,14.093822,19.573873,8.563943,0.898751,19,20
80,0.036862,-0.003298,-0.006276,15.645980,21.310730,9.912455,0.861003,19,20
81,-0.005324,-0.015797,-0.033201,17.662190,26.286253,8.901159,0.885723,19,20
82,0.000000,0.000000,-0.000000,14.574650,21.609381,7.546418,0.897586,19,20
83,0.018798,-0.024943,0.017887,17.558377,22.795975,12.167747,0.914299,19,20
84,-0.005479,-0.033419,0.012062,15.765487,21.218458,10.363040,0.904900,19,20
85,-0.017471,-0.030873,-0.002471,17.187030,22.734153,11.689071,0.896653,19,20
86,-0.002602,-0.023806,-0.026275,20.670131,26.352143,15.127015,0.864531,19,20
87,0.000000,0.000000,-0.000000,15.870887,23.241552,8.578787,0.894595,19,20
88,-0.012542,0.027996,0.015224,18.161399,27.451683,9.053223,0.883962,19,20
89,0.000000,-0.000000,-0.000000,16.265267,20.716057,11.859796,0.893725,19,20
90,0.000000,0.000000,-0.000000,16.321133,19.169170,13.508241,0.893603,19,20
91,-0.042060,-0.019785,-0.031950,24.899030,33.678900,16.252354,0.877132,19,20
92,-0.014565,0.029044,0.009106,21.689466,54.352198,7.745824,0.876571,19,20
93,0.000000,0.000000,0.000000,16.582610,21.942552,11.346172,0.893038,19,20
94,0.028397,0.000568,0.017840,17.707033,22.177472,13.135039,0.861197,19,20
95,0.003712,0.002502,-0.032920,20.514241,30.104089,10.732201,0.915554,19,20
96,0.027574,0.013325,-0.011834,19.855734,25.407902,14.149884,0.894197,19,20
97,-0.000885,0.029829,-0.013649,20.151662,24.420829,15.879625,0.905918,19,20
98,-0.000000,-0.000000,-0.000000,17.400627,21.437139,13.251309,0.891318,19,20
99,-0.013572,-0.018207,0.022811,21.776782,29.603284,13.901781,0.866606,19,20
100,0.000000,-0.000000,0.000000,17.719107,24.452463,10.977521,0.890666,19,20
101,0.000000,0.000000,-0.000000,1.003799,1.612010,1.000010,0.996129,199,200
102,-0.000000,0.000000,-0.000000,1.176033,1.792001,1.000002,0.995937,199,200
103,0.039953,-0.007442,0.000173,1.546256,2.152535,1.000614,1.019270,199,200
104,-0.027271,0.000922,-0.050788,1.704736,2.322732,1.100123,1.048461,199,200
105,-0.063681,-0.005119,0.021247,1.953615,2.553080,1.338714,1.016186,199,200
106,0.019905,0.027324,-0.001416,2.323199,2.932082,1.716141,1.022800,199,200
107,0.000000,0.000000,-0.000000,2.066020,2.655357,1.471860,0.995078,199,200
108,-0.030874,-0.002603,0.037104,2.368660,2.958998,1.777777,1.028778,199,200
109,0.010059,0.010773,-0.029356,2.388809,2.974764,1.809603,1.014187,199,200
110,0.110091,0.142969,0.025506,2.404065,2.986363,1.825956,1.125791,199,200
111,-0.099559,0.036769,-0.047570,2.946715,3.517049,2.389579,1.070801,199,200
112,-0.000000,-0.000000,0.000000,2.798274,3.361444,2.222617,0.994488,199,200
113,0.000000,-0.000000,0.000000,2.908641,3.473109,2.340657,0.994406,199,200
114,-0.032313,-0.008780,-0.021716,3.042307,3.619535,2.463354,0.998817,199,200
115,-0.016015,-0.019525,-0.008812,3.293712,3.840418,2.735269,0.998432,199,200
116,-0.000000,-0.000000,-0.000000,3.421769,3.972571,2.878554,0.994045,199,200
117,-0.000000,-0.000000,-0.000000,3.506022,4.026853,2.980013,0.993988,199,200
118,-0.000000,0.000000,0.000000,3.784286,4.313511,3.260100,0.993807,199,200
119,0.007550,-0.017619,0.023765,5.339828,5.781058,4.892250,1.011071,199,200
120,-0.015798,0.000941,-0.025862,5.521691,5.984177,5.047387,1.016158,199,200
121,-0.016164,0.021450,0.013784,5.047395,5.540254,4.556969,0.983440,199,200
122,0.000000,0.000000,-0.000000,5.112532,5.564665,4.664359,0.993036,199,200
123,0.058681,0.028649,-0.020503,5.830857,6.311477,5.352943,1.009943,199,200
124,-0.004399,0.017275,0.007218,5.736690,6.155102,5.327718,0.994264,199,200
125,0.013514,0.000458,0.013464,6.206106,6.639212,5.776813,0.995712,199,200
126,-0.009298,0.014681,-0.000550,6.782486,7.216031,6.349963,1.001699,199,200
127,-0.002001,0.010664,0.011347,8.215881,8.695646,7.725842,1.000847,199,200
128,-0.000000,0.000000,-0.000000,7.877995,8.420548,7.325762,0.991769,199,200
129,0.014645,0.004230,-0.002967,8.264623,8.741748,7.790848,1.006350,199,200
130,-0.000000,0.000000,-0.000000,8.172131,8.654954,7.690444,0.991654,199,200
131,0.000000,-0.000000,-0.000000,8.682161,9.266450,8.110349,0.991460,199,200
132,-0.021713,-0.013724,0.007377,9.451110,9.973650,8.917749,0.994609,199,200
133,0.002464,0.017354,0.011552,9.223679,9.771647,8.689934,0.997750,199,200
134,-0.000000,0.000000,0.000000,8.925790,9.488832,8.364162,0.991370,199,200
135,0.000000,-0.000000,-0.000000,8.986161,9.508655,8.448923,0.991348,199,200
136,-0.014644,0.014228,-0.001531,9.305714,9.848677,8.775811,0.989238,199,200
137,-0.013301,0.000544,-0.026320,10.063313,10.681727,9.442701,1.009187,199,200
138,-0.000000,0.000000,-0.000000,9.802876,10.380563,9.238644,0.991062,199,200
139,-0.000000,0.000000,0.000000,9.829029,10.383475,9.276496,0.991054,199,200
140,0.009744,0.008728,-0.001542,10.667910,11.288840,10.037917,0.985213,199,200
141,-0.000000,0.000000,0.000000,10.129663,10.833295,9.434898,0.990953,199,200
