# c,c_20,c_200,c_2000,c_20000
1.007709,1.000012,1.003799,1.007318,1.029296
1.180833,1.132921,1.176033,1.180350,1.216077
1.347911,2.766653,1.546256,1.422651,1.362025
1.390322,1.331002,1.704736,1.479818,1.410730
1.617790,2.413764,1.953615,1.742638,1.648397
2.066534,2.409716,2.323199,2.245258,2.066433
2.076230,1.974838,2.066020,2.075201,2.097529
2.106941,3.255786,2.368660,2.105901,2.106840
2.199624,7.685588,2.388809,2.239943,2.264866
2.297267,3.250199,2.404065,2.376815,2.312473
2.763174,2.613590,2.946715,2.894213,2.806924
2.813779,2.660434,2.798274,2.812237,2.844814
2.925013,2.458938,2.908641,2.916464,2.938795
3.101340,2.926281,3.042307,3.099565,3.101161
3.279417,3.090447,3.293712,3.371077,3.279220
3.442282,4.110053,3.421769,3.604118,3.476246
3.527214,3.318242,3.506022,3.525093,3.526996
3.807854,5.195769,3.784286,3.805487,3.842395
4.978047,7.260561,5.339828,4.974621,4.990222
5.035796,5.324949,5.521691,5.081477,5.074760
5.072268,5.864454,5.047395,5.103922,5.071908
5.148406,4.797279,5.112532,5.144827,5.164991
5.518204,6.108182,5.830857,5.514265,5.517815
5.727066,5.320849,5.736690,5.722902,5.743468
5.798506,7.038798,6.206106,5.794272,5.822577
6.701354,9.442330,6.782486,6.780633,6.755633
7.818542,8.093579,8.215881,7.944790,7.817884
7.943400,7.308099,7.877995,7.936844,7.942743
7.945945,6.716291,8.264623,7.939431,7.952714
8.240894,11.287336,8.172131,8.331290,8.252332
8.757001,9.970324,8.682161,8.749501,8.755936
8.782411,8.054614,9.451110,8.774868,8.781654
8.936382,8.190767,9.223679,8.928644,8.954344
9.003429,8.250529,8.925790,8.995651,9.035177
9.064568,10.960939,8.986161,9.112851,9.063778
9.271830,8.488050,9.305714,9.352494,9.271008
9.733664,8.896607,10.063313,9.724999,9.749972
9.891288,9.035683,9.802876,9.999377,9.908121
9.917696,11.302065,9.829029,9.908785,9.916802
10.099891,9.584507,10.667910,10.099787,10.098941
10.222147,9.762808,10.129663,10.342110,10.221203
10.222325,9.327919,10.129804,10.537723,10.221398
10.412508,9.495352,10.317665,10.402987,10.427978
10.429114,9.510184,10.333981,10.419584,10.428166
10.439027,10.204657,10.317735,10.429459,10.438071
10.603997,9.664194,11.113144,10.713428,10.620983
10.773537,9.813207,10.526350,10.763581,10.772546
10.878302,9.905211,11.100735,10.868208,10.877293
11.083376,11.289736,10.770477,11.073006,11.086850
11.738141,10.660522,11.626384,11.819178,11.738289
11.909660,10.810646,11.795790,11.898203,11.908521
12.149456,11.020453,12.032404,12.186638,12.181785
12.156067,12.331390,11.991667,12.146429,12.146180
12.202090,11.066396,12.084311,11.883010,12.207863
12.337788,14.069797,12.338255,12.362673,12.373478
12.352563,11.198163,12.642714,12.341950,12.351349
12.516271,11.341363,12.863938,12.504045,12.541076
12.559225,11.941397,12.729564,12.546921,12.567151
12.748383,17.353998,11.574631,12.735814,12.753811
12.806981,11.595449,12.681205,12.778875,12.805698
12.856114,15.997994,12.729814,12.843417,12.869483
13.259704,11.990221,13.127946,13.306984,13.277838
13.356912,12.075066,13.223708,13.442321,13.355557
13.570040,13.292859,13.433992,13.600525,13.584543
13.702603,12.376421,13.134990,13.688747,13.708765
13.961234,12.601255,13.819779,13.947022,13.959820
14.065274,12.691947,14.313646,14.169964,14.087588
14.317795,12.911272,14.922720,14.370865,14.316316
14.433938,12.846392,14.285974,14.167035,14.450829
14.691518,13.236128,14.539946,14.785926,14.717495
14.701147,13.244288,14.549504,14.799974,14.701862
14.799826,13.330139,15.023658,14.429014,14.786205
15.123966,14.118485,15.260516,15.150612,15.131322
15.438708,13.883493,15.172219,15.552355,15.437067
15.495711,13.933047,16.418915,15.544965,15.506571
15.566452,13.993838,16.036162,15.579456,15.564780
15.581234,14.741154,15.417196,15.564742,15.579586
15.634736,14.483031,15.095994,15.618192,15.647392
15.681511,14.093822,15.745658,15.667322,15.679847
15.909645,15.645980,14.373217,16.082016,15.934637
16.152575,17.662190,16.906869,16.135362,16.160222
16.237385,14.574650,16.625663,16.312411,16.235623
16.915114,17.558377,17.535156,16.852635,16.957781
16.944469,15.765487,16.760836,17.003438,16.943215
17.214577,17.187030,17.746900,17.287408,17.212674
17.220711,20.670131,16.926844,17.348079,17.218865
17.740679,15.870887,18.090937,17.800424,17.745648
18.175312,18.161399,18.214140,18.250148,18.142841
18.199059,16.265267,18.050361,18.178733,18.197043
18.264256,16.321133,18.330291,18.350055,18.262219
18.300100,24.899030,18.648666,18.279656,18.292356
18.566839,21.689466,19.249132,18.529683,18.564719
18.569043,16.582610,18.597299,18.507925,18.479044
18.727468,17.707033,18.780612,18.706286,18.696403
18.984821,20.514241,19.130373,19.028152,19.009573
19.309696,19.855734,19.694482,19.287683,19.306300
19.322978,20.151662,19.523965,19.088214,19.330566
19.522040,17.400627,19.756077,19.499634,19.520210
19.863073,21.776782,19.635737,19.955768,19.882943
19.894422,17.719107,19.860520,19.867581,19.842389
