# c,c_20,c_200,c_2000,c_20000
1.007709,1.152245,1.018026,1.007482,1.007643
1.180833,1.218890,1.172579,1.181255,1.180904
1.347911,1.316450,1.346727,1.348003,1.347879
1.390322,1.420003,1.378758,1.389914,1.390259
1.617790,1.570322,1.615223,1.617217,1.617659
2.066534,2.011618,2.052217,2.064901,2.066510
2.076230,1.929456,2.071549,2.075646,2.076181
2.106941,1.998351,2.089776,2.105734,2.106818
2.199624,2.119145,2.186631,2.198569,2.199400
2.297267,2.195610,2.276796,2.295503,2.297223
2.763174,2.736952,2.743568,2.761416,2.763111
2.813779,2.662627,2.808211,2.811883,2.813774
2.925013,2.603864,2.912460,2.922607,2.924812
3.101340,2.939728,3.087496,3.099572,3.101187
3.279417,3.064336,3.251477,3.276282,3.279111
3.442282,3.336369,3.413225,3.439576,3.442084
3.527214,3.371677,3.509672,3.524484,3.526894
3.807854,3.578287,3.780832,3.805582,3.807607
4.978047,4.037705,4.946786,4.975231,4.977630
5.035796,4.856628,5.028733,5.030282,5.035358
5.072268,5.013192,4.997475,5.069203,5.071839
5.148406,4.876925,5.111008,5.145468,5.148101
5.518204,5.218336,5.487201,5.514357,5.517745
5.727066,5.395473,5.687740,5.724337,5.726533
5.798506,5.326997,5.801467,5.794599,5.798281
6.701354,6.259894,6.648957,6.695418,6.700707
7.818542,6.996156,7.755457,7.811713,7.817524
7.943400,7.313043,7.867692,7.932762,7.942390
7.945945,7.545382,7.811581,7.935038,7.945382
8.240894,7.875202,8.191302,8.234224,8.239566
8.757001,8.272692,8.665550,8.749884,8.755954
8.782411,8.417522,8.715817,8.775922,8.781918
8.936382,8.166093,8.836163,8.930013,8.935883
9.003429,7.891438,8.922325,8.995338,9.002436
9.064568,8.452901,8.990142,9.057512,9.063641
9.271830,8.633533,9.222978,9.266096,9.270817
9.733664,8.852096,9.636162,9.721214,9.732646
9.891288,8.806465,9.782977,9.874858,9.890998
9.917696,8.828911,9.820163,9.906786,9.916691
10.099891,9.502489,9.987130,10.091070,10.098595
10.222147,9.145691,10.144232,10.213779,10.220977
10.222325,9.363935,10.113369,10.205596,10.222081
10.412508,9.815698,10.279710,10.400672,10.410915
10.429114,9.912813,10.296150,10.418427,10.427336
10.439027,9.215509,10.322392,10.429850,10.438414
10.603997,9.400708,10.501587,10.593975,10.603145
10.773537,9.800378,10.714536,10.759519,10.772429
10.878302,9.554114,10.799305,10.871008,10.877206
11.083376,9.851511,10.955529,11.070919,11.082108
11.738141,10.069795,11.591112,11.732080,11.736644
11.909660,10.858732,11.957087,11.895462,11.908765
12.149456,11.105687,12.035449,12.140069,12.147740
12.156067,10.636982,12.055416,12.147559,12.154416
12.202090,11.120784,12.131542,12.189365,12.201480
12.337788,10.907157,12.196864,12.326282,12.336750
12.352563,11.287213,12.203925,12.334384,12.351906
12.516271,11.545516,12.375754,12.504683,12.514039
12.559225,11.896046,12.457130,12.552537,12.557592
12.748383,11.618503,12.589833,12.736912,12.746779
12.806981,11.945700,12.727266,12.795073,12.806010
12.856114,11.749716,12.706597,12.846103,12.854985
13.259704,11.893310,13.082376,13.248574,13.258418
13.356912,11.934418,13.252208,13.343233,13.356173
13.570040,12.362119,13.419404,13.558671,13.568536
13.702603,12.777011,13.587238,13.688152,13.700506
13.961234,12.747839,13.819283,13.946668,13.959118
14.065274,12.270588,13.844067,14.051296,14.063177
14.317795,12.844874,14.164020,14.299919,14.316157
14.433938,12.727803,14.296316,14.423785,14.430819
14.691518,13.349166,14.571043,14.675011,14.689392
14.701147,13.529418,14.487387,14.688715,14.700122
14.799826,13.033862,14.534970,14.788029,14.798194
15.123966,13.707818,14.968529,15.107303,15.122663
15.438708,13.858793,15.231458,15.427192,15.437854
15.495711,13.900184,15.405465,15.477984,15.493549
15.566452,14.640494,15.362426,15.556151,15.564719
15.581234,13.724287,15.344990,15.561356,15.579039
15.634736,14.269429,15.420056,15.613399,15.633120
15.681511,14.182992,15.546389,15.663073,15.680137
15.909645,14.610579,15.691905,15.879909,15.906676
16.152575,14.480183,15.916057,16.136890,16.150195
16.237385,14.632432,16.035553,16.213936,16.235252
16.915114,15.060760,16.816765,16.889859,16.912648
16.944469,14.778117,16.716831,16.927828,16.942117
17.214577,15.493962,16.985498,17.187020,17.211859
17.220711,15.204585,16.976708,17.204243,17.218681
17.740679,15.882898,17.569119,17.718261,17.737377
18.175312,16.552085,17.977242,18.146985,18.172961
18.199059,16.720572,18.077300,18.170090,18.197082
18.264256,15.825463,18.035819,18.244192,18.260923
18.300100,16.823497,18.084753,18.286934,18.298352
18.566839,17.422756,18.296817,18.551960,18.563793
18.569043,15.977023,18.249823,18.536529,18.565850
18.727468,16.498719,18.466990,18.707322,18.724694
18.984821,16.990418,18.729469,18.966413,18.982146
19.309696,18.391471,19.117007,19.293002,19.306049
19.322978,16.443805,19.112321,19.293334,19.320301
19.522040,17.432602,19.274567,19.489607,19.520062
19.863073,18.131446,19.605046,19.844001,19.859255
19.894422,18.094744,19.630650,19.867762,19.890669
