# c,c_20,c_200,c_2000,c_20000
1.007709,3.897818,2.328737,2.328737,2.524263
1.180833,2.328737,2.328737,2.328737,2.591697
1.347911,4.311421,3.167156,2.734125,2.480558
1.390322,2.328737,3.668085,2.771564,2.512667
1.617790,4.519527,3.429752,3.047392,2.572585
2.066534,2.328737,3.610985,3.039194,2.328737
2.076230,2.328737,2.328737,2.328737,2.595025
2.106941,4.123628,3.564883,2.328737,2.328737
2.199624,11.737411,3.206584,2.654504,2.803662
2.297267,6.184372,4.965615,2.762009,2.557355
2.763174,2.650087,4.604146,3.194591,2.986440
2.813779,2.690615,2.828259,2.841871,3.005719
2.925013,2.694725,2.935984,3.035375,3.018805
3.101340,2.951405,3.644381,3.123860,3.125466
3.279417,3.111094,3.648399,3.653258,3.301678
3.442282,7.318646,3.443143,3.967001,3.561053
3.527214,3.339438,3.526892,3.545903,3.547802
3.807854,5.311358,3.803997,3.825153,3.914473
4.978047,11.732339,6.036716,4.992832,5.034796
5.035796,5.305000,6.275371,5.882298,5.202466
5.072268,8.293371,5.694744,5.197917,5.090130
5.148406,4.808507,5.130660,5.163013,5.208787
5.518204,8.657180,6.476394,5.532511,5.536089
5.727066,5.338236,6.096016,5.741265,5.787788
5.798506,9.000302,6.011890,5.812663,5.863729
6.701354,12.061306,7.303670,6.882539,6.834407
7.818542,19.640794,8.447368,8.018253,7.837996
7.943400,7.325376,7.898105,7.957044,7.962970
7.945945,15.275131,8.629155,7.959601,8.070345
8.240894,13.003482,8.192518,8.456628,8.294922
8.757001,10.019787,8.703154,8.770613,8.815505
8.782411,8.069946,9.713197,8.796002,8.802809
8.936382,8.203609,9.522474,8.949979,8.997848
9.003429,8.261549,8.946892,9.017034,9.083862
9.064568,16.332308,9.007324,9.221353,9.085274
9.271830,8.491966,9.915500,9.488004,9.292717
9.733664,8.903552,10.772364,9.747233,9.802633
9.891288,9.046671,9.825152,10.111501,9.976848
9.917696,16.583742,9.851268,9.931235,9.939301
10.099891,13.336394,10.035023,10.302398,10.121694
10.222147,14.382154,10.152380,10.728797,10.244070
10.222325,9.345084,10.152566,10.615797,10.244261
10.412508,9.515098,10.340383,10.426075,10.539129
10.429114,9.529898,10.356875,10.442675,10.451266
10.439027,14.911873,11.338497,10.452577,10.461188
10.603997,9.685418,11.933522,10.907859,10.675283
10.773537,9.835456,11.271240,10.787087,10.796075
10.878302,9.927807,11.393243,10.891846,10.900945
11.083376,15.887829,11.379416,11.096902,11.147764
11.738141,10.676529,11.650720,11.975819,11.801518
11.909660,10.823990,11.820364,11.923121,11.933510
12.149456,11.029127,12.057168,12.453674,12.277665
12.156067,16.298469,12.822815,12.329404,12.236691
12.202090,11.074091,12.109069,12.732483,12.321031
12.337788,20.458457,13.317318,12.562847,12.433364
12.352563,11.202030,12.466422,12.657347,12.376882
12.516271,11.340846,13.512385,12.529749,12.625091
12.559225,18.722676,12.798562,12.572685,12.622761
12.748383,24.278362,13.323837,12.761787,12.825948
12.806981,11.586246,12.706989,13.057844,12.831818
12.856114,23.424967,12.755589,12.869548,12.950286
13.259704,11.987108,13.154248,13.476171,13.355146
13.356912,12.074343,13.250207,13.732576,13.382384
13.570040,15.635864,13.460428,13.838896,13.650931
13.702603,12.383420,15.201595,13.715922,13.769402
13.961234,12.613460,13.847078,13.974580,13.987428
14.065274,12.705871,15.388004,14.385171,14.161825
14.317795,12.929208,15.710535,14.538363,14.344412
14.433938,19.919387,14.313867,14.845905,14.515874
14.691518,13.258360,14.567735,15.001941,14.780026
14.701147,13.266812,14.577417,15.014398,14.821263
14.799826,13.353247,16.586741,15.181548,14.944542
15.123966,17.067314,16.075654,15.253718,15.214572
15.438708,13.910846,16.809949,15.714362,15.466613
15.495711,13.960399,16.037816,15.735832,15.594083
15.566452,14.021859,16.187407,15.751475,15.594548
15.581234,17.178506,15.446508,15.594385,15.609332
15.634736,23.209911,16.214904,15.647835,15.728235
15.681511,14.121426,16.624863,15.972646,15.709723
15.909645,25.499967,17.317208,16.442667,16.050098
16.152575,27.844930,17.653989,16.165595,16.240274
16.237385,14.601045,17.109475,16.415543,16.266199
16.915114,27.146655,17.751125,17.167165,17.040457
16.944469,22.497871,16.791919,17.142101,17.023220
17.214577,30.068716,18.284888,17.476010,17.244585
17.220711,28.759039,18.687565,17.518442,17.250711
17.740679,15.881298,18.473000,18.081847,17.835341
18.175312,23.607860,18.979908,18.669115,18.259879
18.199059,16.267013,19.489434,18.211928,18.230216
18.264256,16.321828,18.755013,18.664642,18.295481
18.300100,32.593625,20.360576,18.312846,18.480949
18.566839,31.284394,19.821774,18.879605,18.598367
18.569043,16.577072,19.853003,18.695246,18.793165
18.727468,24.670380,19.569819,18.740109,18.880718
18.984821,27.218148,20.375780,19.273720,19.108438
19.309696,32.530043,21.677068,19.322127,19.412689
19.322978,31.879407,20.482794,19.617318,19.402397
19.522040,17.370021,20.307605,19.534544,19.645040
19.863073,31.526431,19.670582,20.291366,19.949746
19.894422,17.677927,20.472895,20.199054,20.032853
