# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
1,0.000000,0.000000,-0.000000,9.984768,10.219494,9.751821,0.998223,1012,1013
2,0.004000,-0.002066,-0.003507,9.923810,10.181374,9.659915,0.999589,989,990
3,0.007866,0.002576,-0.001691,10.090561,10.363859,9.814467,1.002971,924,925
4,0.001971,0.008588,-0.007834,10.244654,10.534430,9.952553,1.007270,993,994
5,0.000000,-0.000000,0.000000,9.942630,10.199743,9.684225,0.998245,1023,1024
6,0.000866,0.003864,0.003998,10.050209,10.314265,9.788803,0.998904,1016,1017
7,-0.004372,-0.002567,0.002145,10.132081,10.385278,9.878600,1.000682,1045,1046
8,-0.000000,-0.000000,0.000000,10.013646,10.274271,9.752032,0.998185,992,993
9,-0.000000,0.000000,-0.000000,9.952166,10.213438,9.696859,0.998218,1008,1009
10,0.010276,0.004145,0.003707,10.312727,10.594920,10.032549,1.007297,1007,1008
11,0.008256,0.006212,0.000298,9.994742,10.268657,9.720841,1.005604,957,958
12,0.005169,0.001529,-0.001963,10.034156,10.317689,9.753636,0.997033,982,983
13,-0.000000,-0.000000,0.000000,9.973654,10.254326,9.688838,0.998139,966,967
14,0.001926,0.003510,0.004175,9.826904,10.086116,9.560247,0.997586,967,968
15,-0.006952,0.002259,-0.003570,10.026140,10.282569,9.763246,1.001523,992,993
16,-0.000319,0.005140,0.002252,10.207301,10.448319,9.965226,1.003387,1013,1014
17,-0.000210,0.001173,-0.005449,10.114670,10.360343,9.874588,1.000086,1027,1028
18,-0.000564,0.005637,-0.000992,10.007776,10.282652,9.734968,1.000757,971,972
19,-0.000000,-0.000000,0.000000,9.937372,10.183091,9.692921,0.998272,1039,1040
20,0.000000,0.000000,0.000000,10.033305,10.291593,9.779669,0.998228,1017,1018
21,0.000000,0.000000,-0.000000,9.967903,10.259148,9.679923,0.998212,1005,1006
22,-0.000000,-0.000000,-0.000000,9.995877,10.280693,9.703833,0.998147,971,972
23,-0.000000,-0.000000,-0.000000,9.992094,10.262989,9.728623,0.998187,992,993
24,0.006910,-0.004120,-0.005805,9.937528,10.183307,9.686496,1.000915,1035,1036
25,-0.000000,0.000000,0.000000,9.968289,10.235459,9.705485,0.998162,978,979
26,-0.004500,-0.001720,0.003032,10.132563,10.391308,9.871169,1.003252,991,992
27,0.004638,-0.000847,0.003321,10.189681,10.478566,9.903033,0.996507,961,962
28,0.013823,-0.002526,0.004167,10.049125,10.324506,9.767171,1.001985,989,990
29,-0.000000,0.000000,-0.000000,9.969711,10.226188,9.712610,0.998226,1013,1014
30,0.000000,-0.000000,0.000000,9.920755,10.178300,9.660245,0.998105,947,948
31,0.000000,0.000000,0.000000,10.017492,10.283506,9.756214,0.998149,973,974
32,-0.000000,0.000000,-0.000000,9.998679,10.251155,9.746634,0.998133,964,965
33,0.000000,-0.000000,0.000000,9.994110,10.274585,9.721425,0.998197,998,999
34,0.000000,-0.000000,-0.000000,10.002053,10.246425,9.762503,0.998110,952,953
35,-0.003108,-0.000016,-0.004668,10.066017,10.330472,9.802615,0.999055,1013,1014
36,-0.002931,0.004187,0.002168,10.086406,10.337859,9.834203,0.994740,1034,1035
37,0.000567,-0.002877,0.004834,10.079724,10.310161,9.844310,0.999833,1010,1011
38,0.000000,0.000000,-0.000000,9.944399,10.221494,9.671385,0.998258,1031,1032
39,-0.000075,0.005288,-0.002221,10.043044,10.316823,9.774669,1.000507,968,969
40,0.000806,-0.005514,0.000490,10.028409,10.313612,9.746554,1.003390,1023,1024
41,0.001955,0.001519,-0.010197,10.197304,10.479951,9.909965,1.000588,929,930
42,0.000000,-0.000000,-0.000000,10.030461,10.307256,9.752472,0.998184,992,993
43,-0.000000,-0.000000,0.000000,10.014353,10.271267,9.756173,0.998280,1047,1048
44,-0.000000,0.000000,0.000000,10.003428,10.269735,9.730538,0.998173,985,986
45,0.004600,-0.002087,-0.006288,10.147732,10.388179,9.902192,1.002105,1019,1020
46,-0.008679,-0.009468,0.004271,9.945805,10.236125,9.653174,0.997699,964,965
47,0.004591,-0.000103,0.003411,10.020863,10.273654,9.771535,0.999808,989,990
48,-0.000412,-0.004880,-0.002720,9.997207,10.256040,9.739413,0.998674,1024,1025
49,-0.000000,0.000000,0.000000,9.967964,10.209608,9.730355,0.998319,1069,1070
50,0.005282,-0.000904,-0.001710,10.013604,10.265098,9.759436,1.000429,1016,1017
