# Id,x_center,y_center,z_center,c,f(c),r_vir,n_vir,n_tot
1,0.000000,0.000000,-0.000000,10.007289,0.000000,0.998223,1012,1013
2,0.004000,-0.002066,-0.003507,10.419257,0.000000,0.999589,989,990
3,0.007866,0.002576,-0.001691,10.351691,0.000000,1.002971,924,925
4,0.001971,0.008588,-0.007834,10.730092,0.000000,1.007270,993,994
5,0.000000,-0.000000,0.000000,9.965098,0.000000,0.998245,1023,1024
6,0.000866,0.003864,0.003998,10.207772,0.000000,0.998904,1016,1017
7,-0.004372,-0.002567,0.002145,10.261958,0.000000,1.000682,1045,1046
8,-0.000000,-0.000000,0.000000,10.036193,0.000000,0.998185,992,993
9,-0.000000,0.000000,-0.000000,9.974660,0.000000,0.998218,1008,1009
10,0.010276,0.004145,0.003707,10.597057,0.000000,1.007297,1007,1008
11,0.008256,0.006212,0.000298,10.478570,0.000000,1.005604,957,958
12,0.005169,0.001529,-0.001963,10.104466,0.000000,0.997033,982,983
13,-0.000000,-0.000000,0.000000,9.996171,0.000000,0.998139,966,967
14,0.001926,0.003510,0.004175,10.204331,0.000000,0.997586,967,968
15,-0.006952,0.002259,-0.003570,10.319700,0.000000,1.001523,992,993
16,-0.000319,0.005140,0.002252,10.351789,-0.000000,1.003387,1013,1014
17,-0.000210,0.001173,-0.005449,10.343188,0.000000,1.000086,1027,1028
18,-0.000564,0.005637,-0.000992,10.204977,0.000000,1.000757,971,972
19,-0.000000,-0.000000,0.000000,9.959819,-0.000000,0.998272,1039,1040
20,0.000000,0.000000,0.000000,10.055878,0.000000,0.998228,1017,1018
21,0.000000,0.000000,-0.000000,9.990387,-0.000000,0.998212,1005,1006
22,-0.000000,-0.000000,-0.000000,10.018412,0.000000,0.998147,971,972
23,-0.000000,-0.000000,-0.000000,10.014590,0.000000,0.998187,992,993
24,0.006910,-0.004120,-0.005805,10.318642,-0.000000,1.000915,1035,1036
25,-0.000000,0.000000,0.000000,9.990766,0.000000,0.998162,978,979
26,-0.004500,-0.001720,0.003032,10.420314,-0.000000,1.003252,991,992
27,0.004638,-0.000847,0.003321,10.263605,0.000000,0.996507,961,962
28,0.013823,-0.002526,0.004167,10.446013,0.000000,1.001985,989,990
29,-0.000000,0.000000,-0.000000,9.992232,0.000000,0.998226,1013,1014
30,0.000000,-0.000000,0.000000,9.943184,-0.000000,0.998105,947,948
31,0.000000,0.000000,0.000000,10.040050,0.000000,0.998149,973,974
32,-0.000000,0.000000,-0.000000,10.021224,0.000000,0.998133,964,965
33,0.000000,-0.000000,0.000000,10.016605,0.000000,0.998197,998,999
34,0.000000,-0.000000,-0.000000,10.024587,0.000000,0.998110,952,953
35,-0.003108,-0.000016,-0.004668,10.298539,0.000000,0.999055,1013,1014
36,-0.002931,0.004187,0.002168,10.245741,0.000000,0.994740,1034,1035
37,0.000567,-0.002877,0.004834,10.211683,-0.000000,0.999833,1010,1011
38,0.000000,0.000000,-0.000000,9.966873,0.000000,0.998258,1031,1032
39,-0.000075,0.005288,-0.002221,10.282315,0.000000,1.000507,968,969
40,0.000806,-0.005514,0.000490,10.436205,-0.000000,1.003390,1023,1024
41,0.001955,0.001519,-0.010197,10.301130,0.000000,1.000588,929,930
42,0.000000,-0.000000,-0.000000,10.053031,0.000000,0.998184,992,993
43,-0.000000,-0.000000,0.000000,10.036899,0.000000,0.998280,1047,1048
44,-0.000000,0.000000,0.000000,10.025987,0.000000,0.998173,985,986
45,0.004600,-0.002087,-0.006288,10.168930,0.000000,1.002105,1019,1020
46,-0.008679,-0.009468,0.004271,10.253582,0.000000,0.997699,964,965
47,0.004591,-0.000103,0.003411,10.202468,0.000000,0.999808,989,990
48,-0.000412,-0.004880,-0.002720,10.265126,0.000000,0.998674,1024,1025
49,-0.000000,0.000000,0.000000,9.990469,0.000000,0.998319,1069,1070
50,0.005282,-0.000904,-0.001710,10.241371,0.000000,1.000429,1016,1017
51,0.000000,-0.000000,0.000000,10.080056,-0.000000,0.998086,942,943
52,-0.000000,0.000000,-0.000000,10.070485,0.000000,0.998159,979,980
53,0.000000,0.000000,-0.000000,9.939070,-0.000000,0.998141,965,966
54,0.000000,0.000000,0.000000,10.033213,0.000000,0.998259,1034,1035
55,0.007039,-0.001155,-0.003656,10.288889,0.000000,1.000991,1027,1028
56,0.010064,0.008955,-0.006518,10.531271,0.000000,1.002261,964,965
57,-0.008264,-0.009147,0.004381,10.769406,0.000000,1.010359,1019,1020
58,-0.000000,-0.000000,-0.000000,10.014095,0.000000,0.998190,994,995
59,-0.001733,0.004661,-0.002712,10.208063,0.000000,0.996747,1002,1003
60,0.003162,0.002361,-0.009447,10.377663,0.000000,1.004035,975,976
61,0.005557,0.009096,0.004371,10.417074,0.000000,0.999387,1037,1038
62,0.000000,0.000000,0.000000,9.960745,-0.000000,0.998157,974,975
63,-0.000414,0.002087,-0.005331,10.103160,-0.000000,0.995767,978,979
64,-0.000214,0.003339,-0.004598,10.305254,0.000000,1.000085,997,998
65,-0.003223,0.003322,0.003295,10.077016,0.000000,0.996711,1002,1003
66,-0.000000,-0.000000,0.000000,10.110148,0.000000,0.998264,1040,1041
67,-0.000000,0.000000,-0.000000,9.973965,0.000000,0.998216,1007,1008
68,-0.000000,-0.000000,0.000000,9.992773,0.000000,0.998243,1023,1024
69,-0.006678,0.011006,0.002563,10.337496,0.000000,1.005995,1017,1018
70,0.000000,-0.000000,0.000000,10.023604,0.000000,0.998209,1005,1006
71,-0.006291,-0.005053,0.000179,10.384099,0.000000,1.004243,1012,1013
72,0.000006,0.004123,-0.003932,10.373304,0.000000,1.003701,984,985
73,0.001385,0.007450,0.001972,10.498250,0.000000,1.001881,1067,1068
74,-0.000000,0.000000,-0.000000,10.052728,0.000000,0.998218,1011,1012
75,-0.004346,0.003583,0.000945,10.342474,0.000000,1.001471,979,980
76,-0.002290,-0.001855,-0.017175,10.656573,0.000000,1.009762,974,975
77,0.005565,0.001661,0.000431,10.236806,-0.000000,0.996363,951,952
78,-0.000826,0.000658,-0.005673,10.241588,0.000000,0.997335,965,966
79,-0.000000,0.000000,0.000000,9.941848,-0.000000,0.998276,1041,1042
80,0.009251,-0.003559,0.011104,10.369890,0.000000,1.004025,972,973
81,0.000073,-0.006884,-0.004268,10.194073,0.000000,0.999751,1006,1007
82,-0.000000,0.000000,0.000000,10.009205,-0.000000,0.998240,1022,1023
83,-0.000000,-0.000000,0.000000,9.979608,0.000000,0.998176,985,986
84,0.009136,-0.003519,0.000712,10.502515,0.000000,1.001589,1047,1048
85,-0.000000,-0.000000,-0.000000,10.041853,0.000000,0.998124,960,961
86,0.000000,-0.000000,0.000000,9.965209,0.000000,0.998291,1051,1052
87,0.010174,-0.001555,0.002328,10.500356,0.000000,1.008380,920,921
88,-0.000633,0.002082,0.005350,10.257282,0.000000,0.997629,964,965
89,-0.000000,0.000000,-0.000000,10.051479,0.000000,0.998129,963,964
90,-0.005553,0.001133,-0.000059,10.276381,0.000000,1.001204,1003,1004
91,0.000000,-0.000000,0.000000,9.973556,-0.000000,0.998143,967,968
92,-0.000065,-0.007993,-0.001511,10.283561,-0.000000,1.001713,1005,1006
93,-0.004237,-0.012756,-0.025377,10.598339,0.000000,1.014627,961,962
94,-0.000000,-0.000000,0.000000,10.001761,0.000000,0.998321,1071,1072
95,-0.001370,-0.005189,-0.008115,10.235724,-0.000000,0.997557,1066,1067
96,0.000000,0.000000,0.000000,9.950641,-0.000000,0.998220,1008,1009
97,-0.004679,-0.003380,0.000443,10.096183,0.000000,0.996482,960,961
98,0.005326,-0.000372,0.001088,10.301017,-0.000000,1.000335,1072,1073
99,-0.002401,0.000676,0.004973,10.316230,0.000000,0.999248,1028,1029
100,-0.000000,-0.000000,0.000000,9.988024,0.000000,0.998186,991,992
101,0.012455,-0.017455,-0.003406,10.506032,0.000000,1.010378,995,996
102,-0.005479,0.004486,0.003880,10.472295,-0.000000,1.001486,1004,1005
103,-0.005161,0.000804,0.001854,10.128540,0.000000,0.997595,1042,1043
104,-0.000000,0.000000,-0.000000,10.030684,0.000000,0.998303,1061,1062
105,-0.000000,0.000000,0.000000,9.947752,-0.000000,0.998196,995,996
106,-0.000000,-0.000000,0.000000,10.040135,0.000000,0.998188,994,995
107,-0.001793,-0.000478,0.005363,10.428431,0.000000,1.002000,990,991
108,0.009908,-0.011941,-0.001332,10.342671,-0.000000,1.005968,1040,1041
109,0.000661,0.007909,-0.002109,10.275897,-0.000000,0.996185,984,985
110,-0.008024,0.000334,0.001488,10.369235,0.000000,1.003062,991,992
111,0.000000,-0.000000,-0.000000,10.058765,0.000000,0.998203,1003,1004
112,0.000677,-0.000729,0.005468,10.274907,0.000000,0.999682,1033,1034
113,-0.008412,-0.005027,-0.011194,10.656024,0.000000,1.012775,978,979
114,0.000000,0.000000,-0.000000,10.055993,0.000000,0.998193,997,998
115,0.018364,-0.003125,0.006386,11.017932,0.000000,1.012247,968,969
116,-0.000000,0.000000,-0.000000,9.992358,-0.000000,0.998147,970,971
117,0.011639,-0.000331,0.008792,10.610805,0.000000,1.008374,1002,1003
118,0.001292,0.005109,0.001945,10.250322,0.000000,0.997940,1013,1014
119,-0.006231,-0.004411,-0.002548,10.337955,0.000000,0.996869,1020,1021
120,-0.000000,-0.000000,0.000000,10.055726,0.000000,0.998106,951,952
121,0.002362,-0.006808,0.003928,10.440077,0.000000,1.005114,980,981
122,-0.000595,-0.001937,0.005271,10.228885,0.000000,0.996963,998,999
123,0.017890,-0.006130,-0.018215,10.474942,0.000000,1.001938,1002,1003
124,-0.005647,0.000198,0.000169,10.319107,0.000000,1.003198,998,999
125,0.011415,-0.005777,-0.006992,10.637211,0.000000,1.000081,1005,1006
126,-0.003163,0.001977,0.004384,10.362977,-0.000000,1.000252,962,963
127,-0.005062,0.002021,-0.000451,10.114485,0.000000,0.995249,1072,1073
128,0.000000,0.000000,-0.000000,9.964084,-0.000000,0.998273,1040,1041
129,0.000404,0.004553,0.003139,10.444210,0.000000,0.999716,1021,1022
130,-0.001897,0.005274,0.000435,10.127901,0.000000,0.994177,1020,1021
131,-0.000000,0.000000,0.000000,10.016813,0.000000,0.998188,993,994
132,0.000000,-0.000000,0.000000,10.052098,0.000000,0.998223,1014,1015
133,-0.007717,0.002954,-0.002433,10.235582,-0.000000,0.998662,899,900
134,0.000000,0.000000,-0.000000,9.958588,-0.000000,0.998327,1073,1074
135,0.000000,0.000000,-0.000000,9.992727,0.000000,0.998190,993,994
136,0.006493,0.010959,-0.003331,10.437866,0.000000,1.003160,1014,1015
137,0.000000,-0.000000,0.000000,10.026524,0.000000,0.998154,975,976
138,0.000000,-0.000000,-0.000000,9.949841,-0.000000,0.998202,998,999
139,0.015270,0.007154,-0.009408,10.373655,-0.000000,1.000588,1016,1017
140,-0.006352,0.005027,-0.005854,10.539917,0.000000,1.004067,999,1000
141,0.000185,-0.005577,0.000275,10.167322,0.000000,0.998519,1030,1031
142,-0.001459,0.000436,0.016446,10.664228,0.000000,1.009569,935,936
143,-0.000000,-0.000000,0.000000,9.957238,0.000000,0.998224,1011,1012
144,0.002243,-0.004675,0.002456,10.209141,0.000000,0.999119,981,982
145,-0.000000,0.000000,0.000000,9.963018,0.000000,0.998253,1028,1029
146,0.006983,-0.015450,0.012915,10.880069,0.000000,1.005581,943,944
147,-0.002029,-0.004114,-0.003234,10.289336,0.000000,0.998013,1014,1015
148,-0.000000,-0.000000,-0.000000,10.038491,0.000000,0.998210,1006,1007
149,-0.000000,-0.000000,0.000000,9.985064,0.000000,0.998238,1020,1021
150,0.002686,0.003914,0.006671,10.313482,0.000000,1.000712,985,986
151,0.004973,-0.004691,-0.004137,10.354780,0.000000,1.000918,1031,1032
152,0.000000,0.000000,-0.000000,9.998195,-0.000000,0.998148,971,972
153,0.007931,-0.006264,0.000627,10.536904,0.000000,1.006570,984,985
154,-0.000000,-0.000000,-0.000000,9.991289,0.000000,0.998199,998,999
155,0.000000,-0.000000,0.000000,9.983698,-0.000000,0.998360,1096,1097
156,0.005909,0.001356,0.034367,10.400214,-0.000000,1.014638,1026,1027
157,0.005301,0.001951,-0.000111,10.323718,0.000000,0.998944,996,997
158,-0.001849,-0.007357,0.002940,10.223006,0.000000,0.998993,999,1000
159,-0.000962,-0.002625,-0.004791,10.350934,0.000000,0.999958,1033,1034
160,-0.000000,0.000000,0.000000,10.016181,0.000000,0.998219,1010,1011
161,-0.005478,0.001138,0.000884,10.294789,0.000000,1.003416,1003,1004
162,-0.007988,-0.004547,0.007419,10.212846,0.000000,1.001323,996,997
163,-0.000000,-0.000000,0.000000,10.004867,0.000000,0.998254,1030,1031
164,-0.004036,0.000644,-0.009467,10.460400,0.000000,1.004357,956,957
165,0.009319,0.004007,-0.001019,10.254995,0.000000,1.002698,978,979
166,0.007440,0.000028,0.006840,10.254224,0.000000,1.000989,999,1000
167,0.007963,-0.001237,0.000526,10.269670,0.000000,1.001771,1011,1012
168,-0.000000,0.000000,0.000000,9.920994,0.000000,0.998227,1011,1012
169,-0.000000,-0.000000,-0.000000,9.977423,0.000000,0.998154,973,974
170,-0.008050,0.010611,-0.002366,10.731648,0.000000,1.009573,965,966
171,0.007498,-0.002991,0.001058,10.361282,0.000000,1.002999,995,996
172,0.002204,0.009784,0.001648,10.305030,0.000000,1.001827,986,987
173,0.005623,-0.000632,-0.000769,10.464973,0.000000,1.002088,977,978
174,-0.000000,-0.000000,-0.000000,10.083890,0.000000,0.998150,975,976
175,-0.000000,0.000000,0.000000,9.960498,-0.000000,0.998155,973,974
176,0.002083,-0.005153,0.000818,10.379200,0.000000,0.999032,1010,1011
177,0.000000,-0.000000,0.000000,10.017770,0.000000,0.998257,1032,1033
178,0.005837,-0.002127,-0.020240,10.349587,0.000000,1.004848,943,944
179,0.000000,-0.000000,0.000000,10.023454,0.000000,0.998180,989,990
180,0.004266,-0.003250,0.002203,10.443679,0.000000,1.003642,950,951
181,0.012251,0.008232,-0.001690,10.512194,0.000000,1.007494,983,984
182,-0.003825,-0.000355,0.007378,10.368751,0.000000,1.001145,952,953
183,0.000000,-0.000000,0.000000,10.046959,0.000000,0.998296,1057,1058
184,-0.000000,0.000000,-0.000000,10.065049,0.000000,0.998278,1047,1048
185,-0.000000,-0.000000,-0.000000,9.942753,-0.000000,0.998148,969,970
186,0.000000,-0.000000,-0.000000,10.019443,0.000000,0.998179,988,989
187,-0.002080,0.007854,-0.001391,10.172949,-0.000000,0.992956,977,978
188,-0.007108,0.005929,-0.003321,10.163900,0.000000,0.997330,1049,1050
