#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85003507082,453.177800,469.202100,455.206700,8.676090,9.486076,7.847199,6.927758,7.817041,6.025738,0.189782,0.136169,87,66,114
85005330681,493.057100,492.023200,528.185900,4.323084,5.173748,3.466151,2.970262,4.091465,1.871441,0.165933,0.122533,63,49,72
85005016327,472.779500,546.692600,499.338000,3.703075,4.590907,2.833323,3.651843,4.780291,2.503959,0.161472,0.105743,53,31,77
85008199685,491.789500,498.562200,482.113300,1.437631,2.560810,0.683896,0.855656,1.970271,0.294542,0.132839,0.090121,29,19,44
85005138293,469.307200,536.486300,467.680900,5.511171,6.606879,4.421936,4.105300,5.021592,3.212531,0.178185,0.132241,72,60,75
85005940897,545.304100,523.738500,536.090900,1.711777,2.877152,0.648760,1.154474,2.246233,0.490305,0.164040,0.110525,56,35,64
85003590329,538.104600,455.488700,546.048700,5.476310,6.252253,4.688955,3.292042,4.195095,2.367625,0.197615,0.147762,98,84,111
85004634792,499.468600,480.368700,530.103300,12.615492,14.162046,11.095320,6.180617,7.179063,5.194137,0.171056,0.131430,61,55,84
85005340468,546.293600,548.463700,537.629700,6.281887,7.106277,5.481340,3.200127,4.133596,2.265311,0.168045,0.136145,68,64,72
85004964195,532.778800,463.173200,466.290700,6.668779,7.369398,5.973558,4.983356,5.871677,4.114880,0.181411,0.127292,71,55,78
85000981869,486.121900,467.562600,490.693200,6.166662,6.780048,5.548065,3.730255,4.543941,2.894999,0.323102,0.247178,430,399,437
85002190095,501.613900,504.844000,504.987700,11.179310,12.218878,10.128171,7.909101,8.665067,7.166875,0.243117,0.184997,180,165,189
85001630800,463.624700,538.911200,494.098600,8.207418,8.910643,7.512151,5.453198,6.148835,4.753514,0.266234,0.204080,254,229,258
85004692846,546.957000,542.918500,548.691700,5.909085,6.608454,5.229067,4.021204,4.868361,3.183820,0.181607,0.132068,76,62,83
