#Id,x,y,z,rho0,rho0_max,rho0_min,rs,rs_max,rs_min,r_max,r_vir,c
85003507082,453.177800,469.202100,455.206700,863420.134528,1117247.955793,610016.470560,0.021415,0.023049,0.019799,0.301409,0.243984,11.393262
85005330681,493.057100,492.023200,528.185900,238026.272424,401064.623970,72191.322736,0.032979,0.037283,0.028686,0.208537,0.000000,-99.000000
85005016327,472.779500,546.692600,499.338000,156245.417750,264133.710977,47535.657623,0.036558,0.040659,0.032450,0.369500,0.204824,5.602706
85008199685,491.789500,498.562200,482.113300,30450.141380,80379.805192,3089.526118,0.065788,0.078738,0.052982,0.241792,0.171174,2.601893
85005138293,469.307200,536.486300,467.680900,352412.239892,544853.111570,156965.655158,0.029242,0.032888,0.025662,0.198822,0.000000,-99.000000
85005940897,545.304100,523.738500,536.090900,30834.776213,52606.847390,8863.978394,0.082568,0.093249,0.071888,0.210749,0.208263,2.522310
85003590329,538.104600,455.488700,546.048700,230165.229007,296332.020275,164927.859300,0.040114,0.044745,0.035533,0.299925,0.248481,6.194390
85004634792,499.468600,480.368700,530.103300,1884552.617589,3006653.538981,771187.310728,0.014573,0.016219,0.012890,0.321067,0.210674,14.456718
85005340468,546.293600,548.463700,537.629700,251484.987485,416643.656155,82088.892504,0.037270,0.041907,0.032633,0.187469,0.187038,5.018445
85004964195,532.778800,463.173200,466.290700,556877.173786,805257.548249,312634.095343,0.023920,0.026499,0.021269,0.210624,0.000000,-99.000000
85000981869,486.121900,467.562600,490.693200,249106.696726,272023.762189,226363.195520,0.065783,0.068709,0.062812,0.401556,0.391943,5.958080
85002190095,501.613900,504.844000,504.987700,1687766.948668,2143949.928979,1243449.422885,0.020914,0.022537,0.019272,0.334429,0.294179,14.066080
85001630800,463.624700,538.911200,494.098600,509668.216201,575162.565008,445411.488443,0.040709,0.043184,0.038227,0.321267,0.000000,-99.000000
85004692846,546.957000,542.918500,548.691700,283556.039058,481261.565570,81466.829771,0.033848,0.039017,0.028622,0.222076,0.221825,6.553510
85000831012,473.826100,489.717600,458.431500,279055.137091,303281.993775,255139.934686,0.063503,0.066090,0.060945,0.440225,0.413385,6.509694
85001217902,483.184400,521.997900,457.322600,329076.888736,366115.077426,292627.809941,0.052602,0.055467,0.049780,0.405331,0.354442,6.738137
85008053065,549.136800,484.104300,517.440600,498683.769519,1373690.827404,22707.055382,0.021441,0.028055,0.015006,0.205119,0.000000,-99.000000
85005476036,468.420700,458.350900,471.460500,451697.406522,706260.568957,202419.966693,0.024762,0.027882,0.021562,0.251473,0.221181,8.932408
85008221638,503.270400,536.377100,547.744300,209574.997554,392328.014089,24435.108200,0.025974,0.030681,0.021302,0.330146,0.167476,6.447749
85006489759,544.275000,510.384800,507.765500,552779.496863,1028201.536392,81094.607133,0.021797,0.024727,0.018809,0.219764,0.187016,8.580050
85007909488,497.196000,517.084500,512.677700,260350.363496,427158.511588,92609.945151,0.027712,0.033356,0.022039,0.171707,0.000000,-99.000000
85007010556,500.742100,534.790500,505.780000,181886.962386,335473.592142,30379.950132,0.034375,0.041113,0.027441,0.209662,0.193846,5.639089
85002916379,525.565500,489.461000,502.327700,110674.419706,138397.146791,82841.999935,0.058655,0.064397,0.053072,0.339662,0.259412,4.422644
85008504326,460.377700,520.088700,506.150300,37166.026078,68896.694776,5851.205371,0.062211,0.075601,0.049156,0.253824,0.174959,2.812354
85002845033,482.097900,546.537100,546.473300,2661421.921183,3523768.628990,1814902.245250,0.015908,0.017199,0.014578,0.305315,0.263845,16.586166
85001922231,481.336000,469.930300,526.984700,811564.458899,933213.553316,687417.098137,0.031125,0.033040,0.029167,0.377055,0.328022,10.538917
85003127383,490.315800,461.278500,497.725500,469091.818105,668963.976243,265380.637673,0.033263,0.036260,0.030232,0.243452,0.000000,-99.000000
85006789058,511.866100,520.084400,452.640200,55663.371558,94548.984447,16564.639011,0.067910,0.077165,0.058831,0.180832,0.000000,-99.000000
85008665025,510.190200,494.217500,471.502600,771542.847715,1461078.871246,68136.484162,0.017658,0.020780,0.014500,0.185855,0.000000,-99.000000
85002880068,511.922400,466.876300,457.955600,1075791.843459,1321077.690951,827985.078472,0.021240,0.022859,0.019597,0.342141,0.266817,12.562291
85008221644,510.601800,530.157500,500.415900,432166.151408,785591.229623,69949.820496,0.021280,0.025561,0.016907,0.249169,0.162782,7.649619
85004796542,457.236400,481.663800,453.775500,235666.198991,369539.012582,105388.013249,0.035849,0.042962,0.028851,0.210586,0.000000,-99.000000
85007250309,458.482400,530.964800,456.562500,76591.283341,161724.233757,9961.292626,0.049110,0.057933,0.040468,0.216605,0.185549,3.778241
85002575623,492.702000,461.441300,497.089300,336990.233025,431773.857165,243473.164043,0.039880,0.043527,0.036311,0.293490,0.282839,7.092262
85000285347,466.941300,543.110000,543.018600,361064.579034,377293.114293,344972.284082,0.075395,0.076982,0.073825,0.793774,0.574776,7.623484
85002573902,484.888700,450.155700,538.219500,393182.012621,495405.055992,290939.175541,0.034251,0.036659,0.031789,0.386545,0.275435,8.041594
85006023048,458.142000,493.395100,540.587100,1712065.818730,2454245.929301,961861.252868,0.014137,0.015981,0.012320,0.196955,0.000000,-99.000000
85006296618,536.251900,548.724200,522.522800,1322399.451221,2398691.945516,216178.435178,0.015608,0.017606,0.013558,0.286581,0.191419,12.264104
85005338276,491.628000,474.763800,464.093600,196317.638397,291346.112914,103533.958299,0.037579,0.042580,0.032621,0.216826,0.000000,-99.000000
85003061407,459.146300,464.567700,455.338900,744586.100913,988650.784345,504090.009483,0.025247,0.027209,0.023241,0.300953,0.261443,10.355336
85002606867,542.269500,531.281600,533.065900,204247.070813,246368.005732,162167.505911,0.047348,0.051940,0.042801,0.274583,0.000000,-99.000000
85005766858,461.419900,491.237800,539.281700,256223.045831,509951.577127,33471.689873,0.026565,0.030260,0.022949,0.301475,0.172944,6.510176
85003266436,463.428300,532.588400,452.658900,391773.692387,527591.011813,259130.011234,0.032755,0.035446,0.030119,0.240370,0.000000,-99.000000
85007010835,520.020100,455.521400,509.385700,414898.478792,582666.179407,249473.167702,0.022089,0.025643,0.018528,0.240307,0.186967,8.464079
85007504467,531.403200,535.338100,482.436700,67018.187011,120638.733675,13833.255820,0.055426,0.064938,0.045983,0.183128,0.000000,-99.000000
85005144203,456.870500,460.752500,506.897500,153214.846554,243093.717681,64762.078809,0.042622,0.050605,0.034739,0.204693,0.000000,-99.000000
85000924395,514.644000,536.608400,507.872000,542540.020304,597875.448695,486760.378568,0.046105,0.048105,0.044128,0.412042,0.405129,8.787177
85002316396,455.501000,462.426300,510.653100,915621.193457,1078904.982503,752707.322381,0.028411,0.030658,0.026213,0.289525,0.000000,-99.000000
85001625542,465.898300,461.508900,523.602200,943280.077903,1074399.561555,813100.480642,0.027987,0.029398,0.026599,0.430676,0.319472,11.415015
85000274243,491.391300,514.967300,473.937500,633973.239371,663061.456841,604488.358574,0.053685,0.054764,0.052613,1.457392,0.537038,10.003572
85002573901,478.403900,452.874600,532.507300,180476.220474,228989.513897,133092.264525,0.049267,0.053669,0.044865,0.252832,0.000000,-99.000000
85001037597,476.748000,462.278000,517.771900,592762.540020,646810.580239,537660.907878,0.040774,0.042532,0.038989,0.389490,0.387384,9.500774
