#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85002147435,486.761800,491.109900,517.124100,10.133777,11.087373,9.171704,6.832449,7.655796,5.985941,0.243297,0.183334,184,165,193
85005265262,478.864400,494.856400,453.497100,4.067789,5.421048,2.719163,2.002071,3.294148,1.000127,0.164995,0.129265,64,59,73
85004141346,506.616800,464.599000,509.051900,9.926157,11.702158,8.201346,7.518724,8.593845,6.422922,0.186551,0.138948,84,71,95
85007784624,505.295100,482.370800,493.887900,3.922440,5.154455,2.687066,1.533517,2.803280,1.000022,0.149254,0.107906,41,33,47
85001139208,542.616600,503.890200,450.718700,7.120846,7.770967,6.475460,5.144076,6.005582,4.273171,0.290677,0.213536,319,262,375
85005076118,548.564300,464.777400,509.338400,5.913096,6.954169,4.897947,4.737848,5.816943,3.645586,0.163781,0.124370,59,45,76
85000343591,452.925400,481.182300,511.572500,9.767350,10.189425,9.337231,6.494456,7.120632,5.853318,0.450391,0.343285,1186,1077,1232
85006192126,477.719200,522.356000,458.920200,5.236575,6.461709,4.016589,3.163367,4.708731,1.873214,0.155341,0.127685,54,46,61
85007501972,475.610400,464.889700,527.600200,6.400541,7.440594,5.342067,5.065737,6.405149,3.747827,0.153027,0.117050,44,40,49
85007769562,543.168000,483.040800,509.692600,6.267249,7.786590,4.729672,5.272389,7.392425,3.110620,0.134547,0.103932,35,29,47
85007387296,505.898500,465.813400,490.474900,1.244068,2.804971,1.000124,1.000046,2.386746,1.000046,0.134399,0.102253,33,27,50
85005146296,547.729400,530.658600,515.623700,4.711167,5.761359,3.639567,3.289750,4.590243,2.088865,0.176786,0.133170,68,66,75
85004397073,540.002000,548.770100,484.008800,5.054437,6.025956,4.079832,4.939457,6.033407,3.848553,0.217030,0.144554,86,85,89
85008353760,507.181900,506.260900,454.357700,4.094521,5.249573,2.957546,2.235717,3.549035,1.086368,0.143913,0.115377,38,34,43
85008504270,490.265700,529.205300,481.940600,1.266115,2.486608,1.000007,1.000066,2.251822,1.000066,0.135180,0.106856,35,29,42
85001637613,513.393900,469.385700,497.737800,6.830659,7.651551,5.999443,5.060384,5.925688,4.186253,0.254296,0.189856,212,181,257
85008367825,500.174700,465.296100,454.962900,9.437923,11.903827,6.979800,9.576241,12.493399,6.607131,0.113895,0.078185,14,13,43
85006200793,484.540400,460.006300,465.128400,5.501307,6.497094,4.505539,3.987514,5.281319,2.675885,0.157248,0.118560,52,43,61
85003508058,547.078000,537.404200,521.401600,5.576143,6.688941,4.447025,3.266549,4.453367,2.102239,0.199156,0.151391,105,96,114
85002919061,526.918800,512.542500,506.019900,8.144032,8.981498,7.315359,5.337399,6.216010,4.435889,0.217543,0.163917,132,116,139
85001217912,546.805400,522.683300,480.532400,7.350255,7.976369,6.737319,5.254798,6.131159,4.360247,0.290722,0.214548,319,266,350
