#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85000000017,475.851700,493.858000,453.695800,10.266714,10.293864,10.238967,7.126959,7.327017,7.016760,2.376947,1.800221,173960,155341,185131
85000000147,489.987400,513.156200,496.503500,5.539460,5.853838,5.413537,3.407058,3.868581,3.306311,1.694354,1.286483,63011,56688,109818
85000000505,462.793500,456.010400,531.864700,5.232351,5.565994,5.095126,4.127767,4.531900,4.004277,1.723915,1.227458,66359,49240,73397
85000001173,473.580200,456.984200,528.980500,5.902662,6.190989,5.748872,3.801473,4.228148,3.685063,1.583862,1.193579,51448,45271,52994
85000001568,476.019800,542.277200,510.827300,5.655857,5.960112,5.491196,3.413468,3.869193,3.292334,1.522939,1.165158,45757,42113,47378
85000002378,484.588600,542.099400,515.548000,5.772135,6.071435,5.585882,3.742839,4.173068,3.610821,1.427225,1.071664,37653,32774,39599
85000002501,477.881500,482.067800,456.966000,4.132618,4.539551,3.986212,2.478543,2.997736,2.355607,1.273380,0.955964,26748,23261,38779
85000003168,487.341100,477.056700,463.452300,6.243640,6.520910,5.969446,4.409990,4.804867,4.188890,1.139303,0.836120,19156,15564,34594
85000003314,460.376800,518.535600,491.704700,5.217033,5.554005,5.004500,4.205555,4.619501,3.994979,1.267191,0.891030,26356,18834,33779
85000003789,458.140400,477.673500,452.032100,6.985192,7.205701,6.759662,4.639976,5.017090,4.463433,1.306859,0.986420,28914,25556,31667
85000004359,507.082900,540.480000,510.608200,5.123379,5.464248,4.926452,3.391865,3.855546,3.247853,1.286774,0.957308,27588,23365,29269
85000006377,495.000900,526.404400,509.162600,7.949686,8.110704,7.787097,5.410649,5.743669,5.163260,1.197340,0.901429,22221,19503,23873
85000006455,477.164200,477.904100,455.265400,7.539349,7.729829,7.352392,5.454637,5.781221,5.216803,1.199586,0.887423,22361,18604,23705
85000008745,484.342300,539.181500,511.660500,6.324053,6.596629,6.057167,4.201821,4.610754,3.998612,1.103429,0.825714,17403,14991,20038
85000009006,462.933800,477.820900,505.930700,5.143345,5.485759,4.916395,3.181686,3.654772,3.027222,1.144393,0.868162,19430,17415,19657
85000011998,476.612200,530.264000,468.152900,6.679248,6.928565,6.437135,4.244734,4.651224,4.017029,1.081367,0.824888,16389,14943,16637
85000013048,467.196200,453.108600,478.859500,5.520024,5.846356,5.236647,4.058011,4.486158,3.776702,1.010456,0.730922,13361,10397,15772
85000013803,491.774800,490.552300,517.051300,4.923072,5.287323,4.644685,3.352425,3.823212,3.152120,1.020959,0.751316,13779,11291,15225
85000013854,543.588800,537.083700,507.044400,6.886781,7.120906,6.647560,4.504156,4.899415,4.243132,1.031124,0.780299,14184,12645,15180
85000014066,475.164700,487.638000,455.301600,6.345055,6.617295,6.079855,4.126147,4.540525,3.906836,1.042955,0.789544,14726,13107,15051
85000014138,462.858500,477.916600,455.083100,7.322691,7.529394,7.115598,5.354393,5.688333,5.021169,1.005690,0.739625,13176,10772,15006
85000015365,479.419200,453.988200,530.357800,6.590966,6.843405,6.335962,4.655631,5.040809,4.377334,0.985153,0.726698,12388,10214,14250
85000015612,459.030100,522.569300,463.488700,6.446684,6.714240,6.183523,4.598322,4.982999,4.285876,0.955045,0.704216,11282,9298,14115
85000016335,529.639900,537.623500,501.569700,8.505380,8.638743,8.375773,5.451719,5.781653,5.151326,1.016525,0.779737,13612,12621,13751
85000016836,549.579200,512.621000,545.330900,3.051474,3.542483,2.856729,1.576889,2.152358,1.451370,1.007033,0.764686,13309,11902,13489
85000016948,455.145400,477.320400,450.611100,9.526185,9.595280,9.456413,6.584356,6.840211,6.324946,0.980018,0.740338,12190,10802,13423
85000017177,541.956400,494.454300,456.823300,8.083599,8.248390,7.917530,5.388949,5.727509,5.050285,0.840068,0.636009,7675,6854,13305
85000017848,464.573000,473.601400,459.920000,8.507964,8.661653,8.358294,6.308310,6.595646,6.016906,0.716855,0.526246,4766,3883,12979
85000019876,452.198100,541.497900,494.775900,7.289891,7.499235,7.078314,4.768322,5.147262,4.460345,0.962082,0.730181,11541,10363,12096
85000021227,473.386700,460.445600,527.946300,5.523145,5.844610,5.212685,3.658902,4.111108,3.398104,0.942503,0.703152,10847,9257,11593
85000021300,505.956900,482.542400,465.145000,5.097875,5.451199,4.807305,3.455880,3.923274,3.202768,0.886634,0.653470,9022,7427,11563
85000021754,467.979800,464.015400,510.208300,6.367699,6.642949,6.092878,4.628514,5.026173,4.239615,0.869305,0.636048,8506,6853,11402
85000022017,477.702300,533.492900,471.572700,6.741131,6.991754,6.485415,5.261593,5.609558,4.908737,0.837738,0.603314,7614,5847,11315
85000023092,543.940800,545.625400,540.161100,8.584164,8.712456,8.458679,5.650208,5.970292,5.333036,0.942190,0.720151,10834,9939,10953
85000023154,487.109000,536.282600,509.708500,4.506497,4.905939,4.198109,3.490872,3.949320,3.186171,0.850350,0.599068,7963,5725,10931
85000023735,450.705700,538.868200,497.005200,6.297719,6.574470,6.021178,4.256604,4.665966,3.979645,0.920483,0.688746,10108,8697,10740
85000024454,550.176100,468.108800,512.892300,6.629573,6.889731,6.367513,4.224970,4.648187,3.834317,0.774227,0.589426,6011,5453,10524
85000024859,548.076800,512.118000,481.115400,5.665689,5.989547,5.344841,3.664414,4.113619,3.430379,0.906891,0.682289,9664,8455,10418
85000025128,484.781700,461.382400,460.732200,10.044111,10.124470,9.962212,6.825495,7.070855,6.581465,0.915415,0.695595,9936,8966,10344
85000026729,549.199600,454.120500,501.725500,7.487183,7.689602,7.285727,4.849896,5.224480,4.536019,0.878249,0.669526,8758,7992,9922
85000027170,490.474500,476.121200,480.142200,7.207582,7.428057,6.990827,4.991098,5.362176,4.630454,0.898831,0.672613,9395,8103,9811
85000027511,456.765300,455.452900,476.374100,5.285468,5.630131,4.940686,3.712285,4.154838,3.417610,0.899403,0.660540,9425,7671,9715
85000027599,463.444600,506.800500,483.259200,7.386786,7.596118,7.180180,4.659916,5.043652,4.354957,0.903978,0.694311,9590,8911,9697
85000027666,457.606500,496.298200,532.255200,8.543799,8.675843,8.408654,5.704649,6.022680,5.384808,0.889814,0.674962,9116,8186,9679
85000027862,464.501600,517.860000,452.555100,5.134623,5.491384,4.817682,3.471592,3.932347,3.182412,0.880424,0.649854,8837,7306,9635
85000030236,458.841100,502.728100,516.504000,6.093156,6.389936,5.796979,4.375986,4.788049,3.995448,0.766323,0.562844,5828,4747,9107
85000030954,455.261700,498.454600,519.923100,6.930803,7.173983,6.689930,5.386733,5.728957,5.047195,0.856123,0.617100,8129,6255,8968
85000031855,456.603100,539.142700,454.573300,6.013187,6.313955,5.707052,4.489489,4.885548,4.134803,0.823659,0.597811,7238,5687,8793
85000031876,468.356900,518.923400,484.271300,3.930431,4.362538,3.637176,2.437778,2.961308,2.213837,0.827987,0.615791,7351,6215,8789
85000032059,452.109600,534.734900,495.781700,6.223417,6.519765,5.929601,4.233519,4.651811,3.852656,0.696054,0.517878,4368,3699,8754
85000032177,477.483500,474.501300,453.834600,3.796307,4.240425,3.543077,2.050065,2.599493,1.867575,0.872244,0.664869,8599,7829,8730
85000033153,450.790800,543.856300,495.758600,4.522291,4.920932,4.215185,3.167255,3.647857,2.910554,0.856238,0.622291,8123,6415,8550
85000033447,482.704800,525.001900,516.435400,6.493398,6.758680,6.221095,4.456934,4.862691,4.095047,0.823377,0.612301,7230,6111,8493
85000033787,502.391700,492.677600,472.631300,6.092860,6.394276,5.799157,4.169960,4.593624,3.814215,0.786975,0.584179,6311,5313,8432
85000034399,490.787400,500.041900,485.973000,9.958495,10.045471,9.870953,6.820016,7.073048,6.567889,0.852020,0.646885,8006,7205,8321
85000035006,485.611100,464.139300,450.540100,5.241704,5.589841,4.907437,3.432446,3.900749,3.162274,0.845347,0.630078,7820,6660,8219
85000035048,535.175600,495.798500,523.623100,7.574715,7.769683,7.376777,5.006950,5.366750,4.662154,0.853993,0.647843,8070,7241,8211
85000036526,539.763100,472.240500,516.436200,2.897433,3.394024,2.660026,1.605757,2.195431,1.442358,0.831180,0.616079,7425,6219,7979
85000038038,458.983800,542.511500,486.426100,6.935353,7.175118,6.691260,4.972629,5.339374,4.598900,0.791386,0.584239,6423,5310,7747
85000038092,521.066900,456.956800,452.503400,9.588921,9.704178,9.474331,7.230075,7.462460,6.991004,0.707642,0.522240,4589,3789,7740
85000039399,480.003000,484.300900,457.691100,6.600370,6.865001,6.336019,4.345647,4.750430,4.020991,0.829502,0.624436,7395,6484,7553
85000039793,469.695000,452.579100,533.553100,6.047579,6.345185,5.750622,4.115578,4.540267,3.738838,0.808105,0.603215,6843,5843,7501
85000040220,526.338900,450.565800,494.561700,7.096165,7.327142,6.867005,4.742022,5.121158,4.366234,0.806455,0.605175,6779,5904,7443
85000040257,522.720400,467.032700,502.528200,2.834692,3.338291,2.614513,1.537411,2.132292,1.373127,0.819590,0.608510,7131,5998,7438
85000041218,453.398600,482.096300,507.694600,6.893769,7.144890,6.643216,4.482372,4.891585,4.081860,0.711052,0.538973,4663,4163,7307
85000042335,488.745300,516.167800,497.428800,7.014100,7.249565,6.774871,4.382828,4.783488,4.045077,0.808200,0.619052,6816,6322,7165
85000043166,459.145300,528.957800,485.699600,6.483133,6.759417,6.209892,4.359934,4.772162,4.004772,0.794052,0.595875,6487,5631,7066
85000043444,489.496800,507.915800,493.924400,5.942086,6.255845,5.624077,4.026177,4.461388,3.619111,0.692524,0.515786,4300,3651,7028
85000044937,488.776300,470.796500,459.740300,4.963068,5.333304,4.598732,3.186358,3.672780,2.906704,0.795005,0.593627,6492,5572,6865
85000045829,451.540300,536.582500,458.118200,7.216451,7.442295,6.991715,5.313841,5.664137,4.967119,0.788352,0.580479,6356,5205,6767
85000046328,531.210300,457.256400,472.300200,9.700627,9.803337,9.600355,6.397876,6.672280,6.117660,0.794977,0.609249,6510,6022,6713
85000047486,462.695700,549.652800,492.046500,6.537936,6.806522,6.270333,4.562940,4.955360,4.201564,0.775543,0.575526,6043,5078,6594
85000048751,535.879200,543.011800,521.864600,6.620976,6.895256,6.351125,4.734600,5.127914,4.348380,0.773496,0.570870,5998,4950,6468
85000048785,459.148300,521.636300,488.085900,8.699245,8.832191,8.566602,6.095952,6.392355,5.794014,0.738284,0.553034,5212,4506,6465
85000049300,531.323200,542.302200,519.681200,7.987305,8.168679,7.805618,5.446186,5.789033,5.100701,0.728578,0.549280,5005,4418,6418
