#OK
#SQL= select p.* from MDR1..FOFParticles f, MDR1..particles p where f.fofParticleId like '85007653355_%' and f.particleId = p.particleId order by f.fofParticleId asc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2013-10-08 17:47:51.310 CEST
#QUERYTIME 68 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
854656915172,85,543.1468,546.1389,540.4129,504.4183,-589.5272,-163.156,752469674
854656947830,85,543.0154,545.8664,540.5652,-271.4715,66.4232,-313.7785,752469675
854657980215,85,543.1216,545.8748,540.4728,230.0141,-38.4813,-0.6516,752469675
854659012330,85,543.2601,545.9528,540.5567,553.8618,-460.5421,-407.9172,752469674
854659028592,85,543.1831,545.9742,540.4965,215.929,-653.4515,-299.6674,752469674
854659028597,85,543.0676,546.0091,540.5492,84.3284,-578.7462,-330.0967,752469674
854659028605,85,543.0182,546.0963,540.4819,-32.332,-484.2708,-216.5668,752469674
854659028607,85,543.2211,546.0834,540.4871,123.3504,-666.1152,-308.9756,752469674
854659028613,85,543.0972,546.1031,540.4324,33.2915,-510.8857,-225.6924,752469674
854660077158,85,543.1655,546.1491,540.483,151.8425,-534.8143,-429.5468,752469674
854660077159,85,543.162,545.9149,540.4988,198.8525,-489.3606,-456.9259,752469674
854660077162,85,543.0051,545.9792,540.4357,-7.939,-441.3308,-316.8282,752469674
854660077175,85,543.1301,545.937,540.4803,211.1775,-488.0403,-411.8922,752469674
854660077179,85,543.1008,545.9583,540.4838,35.5228,-452.5658,-362.3219,752469674
854660077182,85,542.9748,545.9526,540.5615,34.7195,-478.6739,-370.9187,752469674
854660077189,85,543.1497,545.8325,540.4038,188.7321,-577.3747,-391.1057,752469675
854661125723,85,542.9897,546.0168,540.4473,128.3009,-445.5963,-363.837,752469674
854661125730,85,543.0392,545.9587,540.3444,120.3016,-443.5391,-331.1222,752469674
854661125748,85,543.2932,545.7876,540.4176,334.3742,-604.4074,-460.3252,752469675
854661125754,85,543.219,545.9299,540.4675,107.876,-602.6866,-497.3238,752469674
854661125756,85,543.1296,546.0306,540.4402,227.4886,-561.8091,-338.7002,752469674
854661125761,85,543.1086,546.0896,540.533,-9.7804,-405.3807,-332.6942,752469674
854661125762,85,543.0971,546.0635,540.5087,148.53,-443.9106,-345.6376,752469674
854661142136,85,543.0781,545.9753,540.3902,211.3972,120.2051,-121.2005,752469674
854661158506,85,543.0986,545.9013,540.3859,59.265,284.8123,-132.3385,752469674
854661158518,85,543.2825,545.9027,540.3912,367.9701,-75.1342,-331.0399,752469674
854662174323,85,543.1811,546.0057,540.5321,145.671,-551.4412,-467.9236,752469674
854662174329,85,543.0621,546.1202,540.5403,61.5815,-399.3575,-366.795,752469674
854662174330,85,543.1569,546.0423,540.5101,122.3937,-539.9727,-465.7319,752469674
854662190901,85,543.298,545.9431,540.4103,-415.4963,-157.862,-178.7169,752469674
854662207089,85,543.0682,545.898,540.4151,58.3082,232.0385,-140.4081,752469675
854662207090,85,543.0343,545.9183,540.4047,38.2598,121.371,-141.5526,752469674
854663190231,85,543.2589,545.9913,540.4843,555.737,-443.2182,-317.1285,752469674
854663206528,85,543.1053,545.7933,540.5308,166.9064,-358.2344,-435.4108,752469675
854663206536,85,543.2791,545.8269,540.3909,450.9014,-419.9558,-446.324,752469675
854663206552,85,542.9525,545.8738,540.6049,201.9917,-323.5535,-277.2608,752469844
854663222905,85,543.2667,546.0717,540.4763,109.4593,-523.989,-512.881,752469674
854664238800,85,543.3065,545.9568,540.5071,549.1849,-469.3366,-366.8983,752469674
854664238815,85,543.3052,545.8107,540.4682,663.426,-460.3026,-301.5298,752469675
854664255127,85,543.0637,545.8383,540.5057,303.1655,-317.3731,-302.9049,752469675
854665287399,85,542.9106,545.9976,540.5606,458.1859,-401.1286,-200.4148,752469845
854665303724,85,543.0308,545.9621,540.2983,591.5903,-433.0984,-42.0454,752469674
854665303737,85,543.192,545.881,540.4506,626.5014,-384.3415,-186.6954,752469675
854666401421,85,542.9399,545.9307,540.6329,281.4495,87.0507,-107.0449,752469845
854667450005,85,543.2123,545.9083,540.4056,613.3453,3.5739,-201.1953,752469674
854706247317,85,543.0444,545.7776,540.5144,480.6555,65.9534,-149.6748,752469675
854708344578,85,543.0491,545.9371,540.3981,-124.6754,-206.8779,12.3813,752469674
854712522460,85,543.3174,545.9006,540.4453,174.321,-481.7071,-274.9468,752469674
#OK
